access,admin_level,aerialway,aeroway,amenity,area,barrier,bicycle,brand,bridge,boundary,building,construction,covered,culvert,cutting,denomination,disused,embankment,foot,generator:source,harbour,highway,historic,horse,intermittent,junction,landuse,leisure,lock,man_made,military,motorcar,natural,office,oneway,operator,place,power,power_source,public_transport,railway,religion,route,service,shop,sport,surface,toll,tourism,tower:type,tracktype,tunnel,water,waterway,wetland,wood
designated,8,chair_lift,runway,,no,dry_bush,permissive,,culvert,proposed,yes,unclassified,yes,,no,,yes,yes,official,,,motorway,yes,no,yes,roundabout,residential,nature_reserve,,water_canal,,private,coastline,,yes,MyCiTi,archipelago,minor_line,,platform,narrow_gauge,,bus,irrigation,,,earth,no,yes,,grade5,culvert,,wadi,,
unknown,9,,taxiway,,yes,line,no,,viaduct,protected_area,,motorway,no,,yes,,,,permissive,,,raceway,road,yes,,,conservation,track,,pipeline,,no,old_coasline_import,,-1,Transportes Insular La Palma,suburb,line,,,light_rail,,railway,mainline,,,unpaved,yes,,,grade2,building_passage,,stream,,
forestry,2,,,,,wall,yes,,yes,administrative,,trunk,,,,,,,no,,,motorway_link,ruins,permissive,,,,slipway,,breakwater,,yes,ridge,,no,SNCC,region,,,,abandoned,,hiking,forestry,,,interlock,true,,,grade3,no,,riverbank,,
private,5,,,,,embankment,designated,,no,maritime,,tertiary,,,,,,,yes,,,steps,,private,,,,,,cutline,,,archipelago,,1,University of Cape Town,country,,,,rail,,power,yard,,,paved,,,,grade1,yes,,drain,,
agricultural,3,,,,,hedge,dismount,,suspension,national_park,,motorway_link,,,,,,,designated,,,bridleway,,,,,,,,pier,,,water,,,Transtu,state,,,,platform,,ferry,spur,,,cobblestone,,,,grade4,,,canal,,
official,7,,,,,yes,private,,,political,,residential,,,,,,,private,,,living_street,,,,,,,,geoglyph,,,riverbank,,,CAMRAIL,island,,,,construction,,train,drive-through,,,grass,,,,trocha,,,river,,
customers,6,,,,,fence,,,,political_fraction,,yes,,,,,,,,,,residential,,,,,,,,submarine_cable,,,cliff,,,Cabildo Insular de Tenerife,village,,,,disused,,road,driveway,,,fine_gravel,,,,,,,dam,,
no,4,,,,,city_wall,,,,,,primary,,,,,,,,,,construction,,,,,,,,,,,old_coasttline_import,,,État,municipality,,,,tram,,mtb,siding,,,concrete,,,,,,,ditch,,
yes,10,,,,,wire_fence,,,,,,secondary,,,,,,,,,,secondary,,,,,,,,,,,tree_row,,,Gautrain Bus,town,,,,preserved,,tram,parking_aisle,,,dirt/sand,,,,,,,weir,,
permissive,11,,,,,gate,,,,,,service,,,,,,,,,,primary,,,,,,,,,,,rocks,,,Matatu,city,,,,turntable,,bicycle,alley,,,dirt,,,,,,,,,
destination,,,,,,kerb,,,,,,,,,,,,,,,,track,,,,,,,,,,,sand,,,Commune,neighbourhood,,,,subway,,subway,agricultural,,,sand,,,,,,,,,
,,,,,,ditch,,,,,,,,,,,,,,,,tertiary,,,,,,,,,,,wetland,,,CFCO,county,,,,razed,,,bus,,,laterite,,,,,,,,,
,,,,,,retaining_wall,,,,,,,,,,,,,,,,trunk,,,,,,,,,,,scrub,,,TITSA,,,,,,,,long_distance,,,asphalt;sand,,,,,,,,,
,,,,,,guard_rail,,,,,,,,,,,,,,,,tertiary_link,,,,,,,,,,,wood,,,ETUSA,,,,,,,,emergency_access,,,ground,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,secondary_link,,,,,,,,,,,crevasse,,,Metro,,,,,,,,commuter,,,compacted,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,primary_link,,,,,,,,,,,,,,Région,,,,,,,,,,,pebblestone,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,service,,,,,,,,,,,,,,FCE,,,,,,,,,,,wood,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,path,,,,,,,,,,,,,,madarail,,,,,,,,,,,gravel,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,road,,,,,,,,,,,,,,private,,,,,,,,,,,asphalt,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,unclassified,,,,,,,,,,,,,,Atlántida S.A.C.,,,,,,,,,,,concrete:lanes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,footway,,,,,,,,,,,,,,ALL,,,,,,,,,,,paving_stones,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,proposed,,,,,,,,,,,,,,Metrô Rio,,,,,,,,,,,sett,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,pedestrian,,,,,,,,,,,,,,Triângulo do Sol,,,,,,,,,,,mud,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,trunk_link,,,,,,,,,,,,,,Metro Transportes,,,,,,,,,,,metal,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,cycleway,,,,,,,,,,,,,,Panavial,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,dummy,,,,,,,,,,,,,,Ciudad de Cordoba,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,Ecovias,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,platform,,,,,,,,,,,,,,Transportes Fenur S.A.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SuperVia,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metrovías,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sarl 3G2M (Transport Madeleine),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandacaruense,,,,,,,,,,,,,,,,,,,,
