access,admin_level,aerialway,aeroway,amenity,area,barrier,bicycle,brand,bridge,boundary,building,construction,covered,culvert,cutting,denomination,disused,embankment,foot,generator:source,harbour,highway,historic,horse,intermittent,junction,landuse,leisure,lock,man_made,military,motorcar,natural,office,oneway,operator,place,power,power_source,public_transport,railway,religion,route,service,shop,sport,surface,toll,tourism,tower:type,tracktype,tunnel,water,waterway,wetland,wood
permissive,8,,apron,university,yes,fence,,,,administrative,office,yes,,,,catholic,,,,,,pedestrian,ruins,,,,meadow,garden,,storage_tank,,,wetland,,,,hamlet,substation,oil,,,muslim,,,supermarket,multi,concrete,,hotel,,,,reservoir,riverbank,,
private,6,,hangar,hospital,,wall,,,,protected_area,House,,,,,,,,,,,,,,,,brownfield,stadium,,works,,,wood,,,,islet,sub_station,,,,christian,,,mall,soccer,paved,,attraction,,,,pond,,,
customers,4,,,swimming_pool,,,,,,,apartments,,,,,,,,,,,,,,,,quarry,swimming_pool,,,,,grassland,,,,village,generator,,,,,,,,tennis,grass,,,,,,lake,,,
,10,,,public_building,,,,,,,detached,,,,,,,,,,,,,,,,reservoir,common,,,,,scrub,,,,island,,,,,,,,,basketball,,,,,,,lagoon,,,
,7,,,toilets,,,,,,,commercial,,,,,,,,,,,,,,,,village_green,sports_centre,,,,,coastline,,,,town,,,,,,,,,swimming,,,,,,,,,,
,9,,,shelter,,,,,,,residential,,,,,,,,,,,,,,,,grass,park,,,,,beach,,,,suburb,,,,,,,,,,,,,,,,,,,
,,,,place_of_worship,,,,,,,construction,,,,,,,,,,,,,,,,vineyard,pitch,,,,,sand,,,,,,,,,,,,,,,,,,,,,,,
,,,,fuel,,,,,,,warehouse,,,,,,,,,,,,,,,,industrial,nature_reserve,,,,,water,,,,,,,,,,,,,,,,,,,,,,,
,,,,police,,,,,,,church,,,,,,,,,,,,,,,,greenfield,playground,,,,,glacier,,,,,,,,,,,,,,,,,,,,,,,
,,,,school,,,,,,,school,,,,,,,,,,,,,,,,farmyard,recreation_ground,,,,,bare_rock,,,,,,,,,,,,,,,,,,,,,,,
,,,,parking,,,,,,,terrace,,,,,,,,,,,,,,,,forest,track,,,,,heath,,,,,,,,,,,,,,,,,,,,,,,
,,,,restaurant,,,,,,,public,,,,,,,,,,,,,,,,military,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,marketplace,,,,,,,hangar,,,,,,,,,,,,,,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,bank,,,,,,,roof,,,,,,,,,,,,,,,,farmland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,bus_station,,,,,,,industrial,,,,,,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,college,,,,,,,hut,,,,,,,,,,,,,,,,greenhouse_horticulture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,house,,,,,,,,,,,,,,,,construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,greenhouse,,,,,,,,,,,,,,,,cemetery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,shed,,,,,,,,,,,,,,,,livestock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,yes,,,,,,,,,,,,,,,,orchard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,university,,,,,,,,,,,,,,,,farm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,retail,,,,,,,,,,,,,,,,basin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,recreation_ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,garages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
