access,admin_level,aerialway,aeroway,amenity,area,barrier,bicycle,brand,bridge,boundary,building,capital,construction,covered,culvert,cutting,denomination,disused,ele,embankment,foot,generator:source,harbour,highway,historic,horse,intermittent,junction,landuse,leisure,lock,man_made,military,motorcar,natural,office,oneway,operator,place,poi,power,power_source,public_transport,railway,religion,route,service,shop,sport,surface,toll,tourism,tower:type,tunnel,water,waterway,wetland,wood
official,8,station,helipad,car_sharing,yes,gate;entrance,no,Pétro Ivoire,yes,administrative,office,8,yes,no,,,seventh_day_adventist,no,1974.6900000000001,,no,hydro,yes,unclassified,ruins,no,yes,roundabout,military,hot_spring,yes,water_well,airfield,no,wetland,administrative,yes,Civil Government,hamlet,,switch,hydro,stop_area,switch,christian,Camino de Candelaria,dealer;repair;parts,pet,diving,paved,yes,motel,observation,culvert,intermittent,wadi,swamp,deciduous
delivery,9,pylon,hangar,courthouse,,block,private,Gapco,culvert,proposed,mosque,4,hospital,yes,,,presbyterian,yes,160,,private,gas,,footway,memorial,yes,,yes,reservoir,miniature_golf,,storage_tank,nuclear_explosion_site,permissive,ridge,commercial,no,BNA,province,,cable_distribution_cabinet,wind,platform,subway_entrance,jewish,foot,parking_aisle,florist,shooting,concrete,,theme_park,communication,,lake,lock_gate,tidalflat,coniferous
yes,2,yes,threshold,office,,entrance,yes,Oando,,protected_area,yes,5,station,,,,new_apostolic,,2550,,yes,fossil,,stop,battlefield,private,,crossing,village_green,horse_riding,,antenna,range,private,water,foundation,,Rapid Transit System,archipelago,,transformer,,stop_position,buffer_stop,spiritualist,road,video_sells,music,multi,unpaved,,information,lighting,,pond,dock,marsh,palm
destination,4,platform,tower,ministry,,poles,permissive,Texaco,,,cathedral,yes,,,,,methodist,,2370,,permissive,solar,,speed_camera,village,,,,commercial,garden,,crane,checkpoint,yes,wadi,telecommunication,,KNUST,locality,,substation,,station,abandoned,hindu,40,aircraft_control,car_repair,scuba_diving,ground,,hostel,branch,,well,stream,,
ngo,6,no,waypoint,hand_pump,,wall,dismount,Inov,,,university,6,,,,,anglican,,2730,,designated,wind,,incline_steep,wayside_cross,,,,livestock,fitness_centre,,well,barracks,,source,yes,,SGBCI,neighbourhood,,generator,,,station,muslim,,dealer,locksmith,climbing,fine_gravel,,chalet,cooling,,reservoir,ford,,
private,10,,gate,spa,,access_control,designated,SGBCI,,,hospital,10,,,,,catholic,,598,,,coal,,four_way_stop,city_gate,,,,grass,nature_reserve,,tank,bunker,,cave_entrance,educational_institution,,Kenya Agricultural Research Institute,county,,portal,,,tram_stop,buddhist,,dealer;repair,car,rugby_union,dirt,,guest_house,defensive,,,canal,,
customers,7,,radar,sauna,,hampshire_gate,,BMW,,,hangar,,,,,,baptist,,1140,,,diesel,,bus_stop,archaeological_site,,,,farmland,slipway,,lighthouse,,,saddle,accountant,,Société Générale,island,,pole,,,level_crossing,Católica,,parts,funeral_directors,model_aerodrome,grass,,viewpoint,bell_tower,,,dam,,
no,5,,holding_position,yes,,debris,,Caltex,,,roof,,,,,,united,,1995.3499999999999,,,oil,,milestone,yes,,,,residential,fitness_station,,checkpoint,,,fell,architect,,Privés,suburb,,station,,,halt,,,repair,musical_instrument,rugby,sand,,attraction,termination,,,river,,
multifamily,,,parachute_dropzone,ice_cream,,checkpoint,,Nissan,,,chapel,,,,,,reformed,,930,,,,,firth,wayside_shrine,,,,orchard,park,,cave,,,rock_shelter,administration,,Telefonica,country,,tower,,,turntable,,,tyres,stationery,swimming,gravel,,caravan_site,oil rig,,,boatyard,,
designated,,,obstacle,university,,border_control,,Société Générale,,,panel_house,,,,,,shia,,1348,,,,,steps,pillory,,,,forest,dance,,oilfield,,,island,research,,Kenya Power Lighting Company,former_village,,yes,,,crossing,,,,yes,golf,asphalt,,zoo,transition,,,rapids,,
