access,admin_level,aerialway,aeroway,amenity,area,barrier,bicycle,brand,bridge,boundary,building,capital,construction,covered,culvert,cutting,denomination,disused,ele,embankment,foot,generator:source,harbour,highway,historic,horse,intermittent,junction,landuse,leisure,lock,man_made,military,motorcar,natural,office,oneway,operator,place,poi,power,power_source,public_transport,railway,religion,route,service,shop,sport,surface,toll,tourism,tower:type,tunnel,water,waterway,wetland,wood
unknown,,,aerodrome,restaurant_closed,,chain,,Puma Energy,,,Yes,,,,,,orthodox,,1760,,,,,traffic_calming,monument,,,,quarry,video_arcade,,reservoir_covered,,,oilfield,government,,Total Côte d'Ivoire,yes,,power socket,,,stop,,,,cosmetics,football,cobblestone,,camp_site,silo,,,water_point,,
forestry,,,navigation_aid,hospital,,cycle_barrier,,Repsol,,,hotel,,,,,,others,,75,,,,,street_lamp,tomb,,,,plant_nursery,pitch,,yes,,,rock,newspaper,,Mukinyai Primary School,b,,sub_station,,,proposed,,,,deli,boules,,,yes,suspension,,,distribution_tower,,
public,,,windsock,blackboard,,yes,,NAFTAL,,,garages,,,,,,assemblies_of_god,,1998.24,,,,,motorway_junction,gate,,,,allotments,playground,,cereal_bank,,,wood,ngo,,Spur,farm,,street_pole,,,construction,,,,ice_cream,10pin,,,museum,minaret,,,yes,,
permissive,,,parking_position,public_building,,stile,,CMH,,,collapsed,,,,,,roman_catholic,,60,,,,,unknown,boundary_stone,,,,retail,sauna,,tomb,,,yes,company,,Mwangi Michuki Primary School,region,,pylon,,,yes,,,,dive,volleyball,,,sign,anchor,,,waterfall,,
restricted,,,terminal,biergarten,,fence,,OMV,,,ruins,,,,,,quaker,,1860,,,,,ford,castle,,,,construction,yes,,pier,,,stone,association,,Ministry of Public Works,municipality,,fixed_series_compensation,,,platform,,,,garden_centre,bowls,,,lodge,crossing,,,weir,,
AR,,,papi,post_office,,toll_booth,,Petromin Oils,,,tools,,,,,,jehovahs_witness,,2960,,,,,roundabout,wreck,,,,yes,bird_hide,,shaft,,,bay,estate_agent,,CALTEX,state,,,,,railway_crossing,,,,variety_store,motor,,,apartment,defensive;observation,,,milestone,,
agricultural,,,navigationaid,bulding,,bump_gate,,Kobil,,,dormitory,,,,,,pentecostal,,1979.49,,,,,residential,no,,,,recreation_ground,track,,tower,,,waterfall,private,,MSF,historical_state,,,,,railway_entrance,,,,photo_studio,soccer,,,picnic_site,Torre funicular,,,offshore_field,,
,,,pylon,taxi,,lift_gate,,Banque Populaire,,,school,,,,,,evangelical,,1672.8299999999999,,,,,checkpoint,milestone,,,,farm,stadium,,telescope,,,land,service,,La Caixa,crowded,,,,,,,,,clothes,squash,,,artwork,communication:mobile_phone=yes,,,soakhole,,
,,,,toilets,,bollard,,Enacol,,,terrace,,,,,,lutheran,,1170,,,,,street_light,cannon,,,,vineyard,swimming_pool,,pumping_station,,,valley,employment_agency,,Rodeste,quarter,,,,,,,,,baby_goods,athletics,,,hotel,,,,turning_point,,
,,,,fire_station,,jersey_barrier,,Toyota,,,kitchen,,,,,,Charismatic,,1630,,,,,yes,aircraft,,,,industrial,water_park,,mill,,,rocks,cbo,,Universidad de La Laguna,isolated_dwelling,,,,,,,,,perfume,water_sports,,,alpine_hut,,,,wreck,,
,,,,car_rental,,cattle_grid,,Oilibya,,,shed,,,,,,ethiopian_orthodox_tewahedo,,3120,,,,,secondary,citywalls,,,,basin,common,,cairn,,,peak,it,,SNCC,city,,,,,,,,,organic,equestrian,,,wine_cellar,,,,,,
,,,,pub,,stones,,MRS,,,garage,,,,,,Nederduitse Gereformeerde,,1999.2,,,,,track,building,,,,landfill,rock climbing,,antena_radio,,,cape,political_party,,Engen,islet,,,,,,,,,dairy,sailing,,,bed_and_breakfast,,,,,,
,,,,atm,,sally_port,,Independent,,,public,,,,,,adventist,,1400,,,,,mini_roundabout,grave,,,,cairn,sports_centre,,communications_dish,,,point,physician,,CAMRAIL,village,,,,,,,,,lottery,billards,,,self_catering,,,,,,
,,,,baby_hatch,,turnstile,,Total,,,Kitchen,,,,,,sunni,,2,,,,,turning_loop,,,,,cemetery,marina,,adit,,,coral_reef,travel_agent,,Ecobank,town,,,,,,,,,bicycle,table_tennis,,,aquarium,,,,,,
,,,,stripclub,,kissing_gate,,TOTAL,,,retail,,,,,,unspecified,,5,,,,,emergency_access_point,,,,,farmyard,golf_course,,buoy,,,beach,quango,,BP,unknown,,,,,,,,,communication,skating,,,tower,,,,,,
,,,,bank,,gate,,Puma,,,farm,,,,,,coptic_orthodox,,515,,,,,crossing,,,,,aquaculture,beach_resort,,survey_point,,,sand,financial,,FJKM,sea,,,,,,,,,liquor,paintball,,,gallery,,,,,,
,,,,internet_cafe,,speed_bump,,Naftal,,,apartments,,,,,,ethiopian_orthodox,,398,,,,,services,,,,,meadow,picnic_table,,water_works,,,tree,insurance,,NP,,,,,,,,,,tailor,free_flying,,,Hotel,,,,,,
,,,,express_cash,,ditch,,Agil,,,industrial,,,,,,mormon,,150,,,,,give_way,,,,,,fishing,,watermill,,,peaks,lawyer,,Tigo,,,,,,,,,,perfumery,tennis,,,,,,,,,
,,,,recycling,,swing_gate,,Staroil,,,detached,,,,,,Islam,,733,,,,,elevator,,,,,,firepit,,silos,,,hills,transport,,SOTRACO,,,,,,,,,,fabrics,surfing,,,,,,,,,
,,,,embassy,,hedge,,OiLibya,,,bridge,,,,,,congregational,,65,,,,,service,,,,,,club,,oven,,,plateau,labor_union,,Attijariwafa Bank,,,,,,,,,,laundry,basketball,,,,,,,,,
,,,,bicycle_rental,,bus_trap,,Galp,,,temple,,,,,,dutch_reformed,,657.20000000000005,,,,,path,,,,,,hackerspace,,flare,,,no,notary,,prive,,,,,,,,,,sports,badminton,,,,,,,,,
,,,,nursing_home,,kerb,,Sasol,,,classroom,,,,,,protestant,,80,,,,,turning_circle,,,,,,sailing_club,,monitoring_station,,,dune,union,,Movistar,,,,,,,,,,trade,cycling,,,,,,,,,
,,,,diving_center,,guard_rail,,Renault,,,manufacture,,,,,,Baptist,,970,,,,,traffic_signals,,,,,,social_club,,ford,,,hill,,,steg,,,,,,,,,,hifi,canoe,,,,,,,,,
,,,,Mission,,,,Ziz,,,shop,,,,,,Evangélica,,1992.47,,,,,road,,,,,,recreation_ground,,communications_tower,,,waterhole,,,Ewaat Secondary School,,,,,,,,,,beautician,Football,,,,,,,,,
,,,,shower,,,,Afriquia,,,cabin,,,,,,AIEE,,440,,,,,passing_place,,,,,,table,,flagpole,,,reef,,,Banca March,,,,,,,,,,glaziery,cricket,,,,,,,,,
,,,,parking_space,,,,Oil Congo,,,college,,,,,,spiritist,,715,,,,,rest_area,,,,,,,,beacon,,,scrub,,,Public Toilet,,,,,,,,,,car_parts,gymnastics,,,,,,,,,
,,,,driving_school,,,,Engen,,,entrance,,,,,,,,1980.45,,,,,noexit,,,,,,,,horsemill,,,volcano,,,ABSA,,,,,,,,,,bathroom_furnishing,chess,,,,,,,,,
,,,,mortuary,,,,Ecobank,,,commercial,,,,,,,,540,,,,,crossing;traffic_signals,,,,,,,,gasometer,,,crater,,,SAPO,,,,,,,,,,beverages,pelota,,,,,,,,,
,,,,studio,,,,DISA,,,residential,,,,,,,,800,,,,,primary,,,,,,,,works,,,cliff,,,UBCI,,,,,,,,,,crafts,karate,,,,,,,,,
,,,,construction,,,,Shell,,,construction,,,,,,,,3030,,,,,tertiary,,,,,,,,cattle_chute,,,spring,,,Traditional pit latrine,,,,,,,,,,hairdresser,skiing,,,,,,,,,
,,,,post_box,,,,BP,,,hut,,,,,,,,200,,,,,traffic_signals;crossing,,,,,,,,surveillance,,,strait,,,CFU,,,,,,,,,,fabric,baseball,,,,,,,,,
,,,,bureau_de_change,,,,Petroda,,,house,,,,,,,,1640,,,,,platform,,,,,,,,silo,,,scree,,,BMCI,,,,,,,,,,no,horse_racing,,,,,,,,,
,,,,vending_machine,,,,National,,,warehouse,,,,,,,,640,,,,,incline,,,,,,,,windpump,,,trees,,,Algoa Bus,,,,,,,,,,interior_decoration,skateboard,,,,,,,,,
,,,,wall_magazine,,,,Attijariwafa Bank,,,greenhouse,,,,,,,,18,,,,,trunk_junction,,,,,,,,vinery,,,sandstone,,,NBC,,,,,,,,,,winery,fitness,,,,,,,,,
,,,,no,,,,GALP,,,church,,,,,,,,1720,,,,,,,,,,,,,windmill,,,oasis,,,BFV-SG,,,,,,,,,,wholesale,futbol,,,,,,,,,
,,,,winery,,,,ENGEN,,,ruin,,,,,,,,2850,,,,,,,,,,,,,oil_tank,,,glacier,,,Stanbic Bank,,,,,,,,,,video,exercise,,,,,,,,,
,,,,motorcycle_parking,,,,ZIZ,,,storage_tank,,,,,,,,1430,,,,,,,,,,,,,oil_well,,,hot_spring,,,Crédit Agricole,,,,,,,,,,frame,fishing,,,,,,,,,
,,,,school,,,,Mobil,,,civic,,,,,,,,2630,,,,,,,,,,,,,wastewater_plant,,,gorge,,,Siryat Primary School,,,,,,,,,,second_hand,racquet,,,,,,,,,
,,,,tavern,,,,Petrom,,,elevator,,,,,,,,3180,,,,,,,,,,,,,mineshaft,,,shoal,,,Wimpy,,,,,,,,,,luggage,9pin,,,,,,,,,
,,,,restaurant,,,,Jovenna,,,homestead,,,,,,,,740,,,,,,,,,,,,,water_tank,,,rapids,,,ETUSA,,,,,,,,,,books,,,,,,,,,,
,,,,dive_centre,,,,Goil,,,no,,,,,,,,2250,,,,,,,,,,,,,chimney,,,tree_row,,,South African Post Office,,,,,,,,,,motorcycle,,,,,,,,,,
,,,,brothel,,,,PDV,,,bunker,,,,,,,,510,,,,,,,,,,,,,catlle_chute,,,bare_rock,,,Mercadona,,,,,,,,,,wine,,,,,,,,,,
,,,,marketplace,,,,Petrolrios,,,kindergarten,,,,,,,,596,,,,,,,,,,,,,water_tower,,,cascade,,,Telefónica,,,,,,,,,,kitchen,,,,,,,,,,
,,,,veterinary,,,,Branca,,,barn,,,,,,,,2620,,,,,,,,,,,,,lamp,,,headland,,,BMCE Bank,,,,,,,,,,spices,,,,,,,,,,
,,,,fast_food,,,,Link,,,store,,,,,,,,1995.8299999999999,,,,,,,,,,,,,mast,,,,,,Gautrain,,,,,,,,,,market,,,,,,,,,,
,,,,money_transfer,,,,RapiPago,,,,,,,,,,,1530,,,,,,,,,,,,,power,,,,,,FNB,,,,,,,,,,grossery,,,,,,,,,,
,,,,bus_station,,,,Honda,,,,,,,,,,,2890,,,,,,,,,,,,,petroleum_well,,,,,,DHL,,,,,,,,,,dive_centre,,,,,,,,,,
,,,,community_centre,,,,Fiat,,,,,,,,,,,667.28999999999996,,,,,,,,,,,,,colector_de_lluvia,,,,,,Total,,,,,,,,,,insurance,,,,,,,,,,
,,,,monastery,,,,Del Plata,,,,,,,,,,,950,,,,,,,,,,,,,cross,,,,,,Puma,,,,,,,,,,travel_agency,,,,,,,,,,
,,,,theatre,,,,Volkswagen,,,,,,,,,,,1979.01,,,,,,,,,,,,,street_cabinet,,,,,,Equity Bank,,,,,,,,,,confectionery,,,,,,,,,,
,,,,parking_entrance,,,,Hyundai,,,,,,,,,,,1520,,,,,,,,,,,,,antenna_pad,,,,,,household,,,,,,,,,,art,,,,,,,,,,
,,,,club,,,,SP,,,,,,,,,,,535,,,,,,,,,,,,,bunker_silo,,,,,,Koige Secondary School,,,,,,,,,,farm,,,,,,,,,,
,,,,"restaurant,bar",,,,Oil,,,,,,,,,,,265,,,,,,,,,,,,,manhole,,,,,,Société Tunisie Autoroutes - تونس للطرقات السيارة,,,,,,,,,,computer,,,,,,,,,,
,,,,ranger_station,,,,Santander Río,,,,,,,,,,,2920,,,,,,,,,,,,,obelisk,,,,,,St. Joseph nursing & maternity home,,,,,,,,,,general,,,,,,,,,,
,,,,conference_centre,,,,Clyan,,,,,,,,,,,92,,,,,,,,,,,,,trig_point,,,,,,Oil Congo,,,,,,,,,,supermarket,,,,,,,,,,
,,,,childcare,,,,GNC,,,,,,,,,,,1670,,,,,,,,,,,,,winery,,,,,,Barclays,,,,,,,,,,tyres,,,,,,,,,,
,,,,cyber_cafe,,,,Banco do Brasil,,,,,,,,,,,63,,,,,,,,,,,,,pumping_rig,,,,,,DISA,,,,,,,,,,vacant,,,,,,,,,,
,,,,nightclub,,,,PyS,,,,,,,,,,,2980,,,,,,,,,,,,,offshore_platform,,,,,,Shell,,,,,,,,,,greengrocer,,,,,,,,,,
,,,,clock,,,,Chery,,,,,,,,,,,400,,,,,,,,,,,,,floating_storage,,,,,,CEET,,,,,,,,,,bakery,,,,,,,,,,
,,,,waste_basket,,,,Refinor,,,,,,,,,,,2520,,,,,,,,,,,,,man_hole,,,,,,ESCOM,,,,,,,,,,boutique,,,,,,,,,,
,,,,swimming_pool,,,,E/S,,,,,,,,,,,2220,,,,,,,,,,,,,,,,,,,ENGEN,,,,,,,,,,newsagent,,,,,,,,,,
,,,,photo,,,,Caixa,,,,,,,,,,,1880,,,,,,,,,,,,,,,,,,,Barid Al Maghrib,,,,,,,,,,herbalist,,,,,,,,,,
,,,,company,,,,YPFB,,,,,,,,,,,3200,,,,,,,,,,,,,,,,,,,Orange,,,,,,,,,,toys,,,,,,,,,,
,,,,doctors,,,,ANCAP,,,,,,,,,,,1060,,,,,,,,,,,,,,,,,,,SHELL,,,,,,,,,,dry_cleaning,,,,,,,,,,
,,,,food_court,,,,Ale,,,,,,,,,,,1650,,,,,,,,,,,,,,,,,,,CARE/HCR,,,,,,,,,,grocery,,,,,,,,,,
,,,,gambling,,,,ESSO,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,Jovenna,,,,,,,,,,copyshop,,,,,,,,,,
,,,,shelter,,,,Gazel,,,,,,,,,,,1410,,,,,,,,,,,,,,,,,,,Inytercity Bus,,,,,,,,,,cds,,,,,,,,,,
,,,,waste_disposal,,,,Petroecuador,,,,,,,,,,,630,,,,,,,,,,,,,,,,,,,Gapco,,,,,,,,,,energy,,,,,,,,,,
,,,,clinic,,,,Megapetro,,,,,,,,,,,305,,,,,,,,,,,,,,,,,,,Eskom,,,,,,,,,,department_store,,,,,,,,,,
,,,,car_wash,,,,PS,,,,,,,,,,,1370,,,,,,,,,,,,,,,,,,,Safecon,,,,,,,,,,doityourself,,,,,,,,,,
,,,,place_of_worship,,,,Macro,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,Caltex,,,,,,,,,,haberdashery,,,,,,,,,,
,,,,fuel,,,,independent,,,,,,,,,,,1820,,,,,,,,,,,,,,,,,,,Hilton Worldwide,,,,,,,,,,tea,,,,,,,,,,
,,,,animal_shelter,,,,YPF,,,,,,,,,,,1190,,,,,,,,,,,,,,,,,,,Cabildo Insular de Tenerife,,,,,,,,,,convenience,,,,,,,,,,
,,,,retirement_home,,,,Terpel,,,,,,,,,,,237,,,,,,,,,,,,,,,,,,,UETCL,,,,,,,,,,furniture,,,,,,,,,,
,,,,dentist,,,,Pirelli,,,,,,,,,,,1700,,,,,,,,,,,,,,,,,,,Gouvernement,,,,,,,,,,electronics,,,,,,,,,,
,,,,hunting_stand,,,,Ford,,,,,,,,,,,1040,,,,,,,,,,,,,,,,,,,NAFTAL,,,,,,,,,,erotic,,,,,,,,,,
,,,,dive_center,,,,Santander,,,,,,,,,,,610,,,,,,,,,,,,,,,,,,,ONEA,,,,,,,,,,pawnbroker,,,,,,,,,,
,,,,ferry_terminal,,,,Banrisul,,,,,,,,,,,1988.6199999999999,,,,,,,,,,,,,,,,,,,USG Contractor,,,,,,,,,,carpet,,,,,,,,,,
,,,,pharmacy,,,,Bandera Blanca,,,,,,,,,,,183,,,,,,,,,,,,,,,,,,,Oryx,,,,,,,,,,fish,,,,,,,,,,
,,,,shop,,,,Petroworld,,,,,,,,,,,550,,,,,,,,,,,,,,,,,,,public  toilet,,,,,,,,,,photo,,,,,,,,,,
,,,,casino,,,,Bradesco,,,,,,,,,,,2001.1199999999999,,,,,,,,,,,,,,,,,,,BMOI,,,,,,,,,,estate_agent,,,,,,,,,,
,,,,police,,,,Sol,,,,,,,,,,,1030,,,,,,,,,,,,,,,,,,,La Gastro Pizza,,,,,,,,,,gambling,,,,,,,,,,
,,,,bicycle_parking,,,,Petrolríos,,,,,,,,,,,2680,,,,,,,,,,,,,,,,,,,Banque Populaire,,,,,,,,,,decor,,,,,,,,,,
,,,,wifi,,,,Aspro,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,kiosk,,,,,,,,,,
,,,,restaurant;cafe,,,,Guyoil,,,,,,,,,,,1075,,,,,,,,,,,,,,,,,,,Standard Bank,,,,,,,,,,radiotechnics,,,,,,,,,,
,,,,townhall,,,,Hertz,,,,,,,,,,,520,,,,,,,,,,,,,,,,,,,Oilibya,,,,,,,,,,ticket,,,,,,,,,,
,,,,cinema,,,,Unipet,,,,,,,,,,,310,,,,,,,,,,,,,,,,,,,GuaguaGomera S.A.U.,,,,,,,,,,paint,,,,,,,,,,
,,,,grave_yard,,,,Musimundo,,,,,,,,,,,280,,,,,,,,,,,,,,,,,,,DGSN,,,,,,,,,,massage,,,,,,,,,,
,,,,bar,,,,Ipiranga,,,,,,,,,,,2090,,,,,,,,,,,,,,,,,,,SANRAL,,,,,,,,,,bag,,,,,,,,,,
,,,,tyre,,,,Rhasa,,,,,,,,,,,450,,,,,,,,,,,,,,,,,,,government,,,,,,,,,,mobile_phone,,,,,,,,,,
,,,,showers,,,,Biomax,,,,,,,,,,,890,,,,,,,,,,,,,,,,,,,Cepsa,,,,,,,,,,butcher,,,,,,,,,,
,,,,internet,,,,BR,,,,,,,,,,,1991.99,,,,,,,,,,,,,,,,,,,Etat,,,,,,,,,,motorcycle_repair,,,,,,,,,,
,,,,drinking_water,,,,Goodyear,,,,,,,,,,,1790,,,,,,,,,,,,,,,,,,,Bakwena,,,,,,,,,,gift,,,,,,,,,,
,,,,telephone,,,,TEXACO,,,,,,,,,,,1280,,,,,,,,,,,,,,,,,,,private,,,,,,,,,,fashion,,,,,,,,,,
,,,,charging_station,,,,Citroën,,,,,,,,,,,860,,,,,,,,,,,,,,,,,,,Banco Popular,,,,,,,,,,souvenir,,,,,,,,,,
,,,,cemetery,,,,Banestes,,,,,,,,,,,170,,,,,,,,,,,,,,,,,,,Airtel,,,,,,,,,,outdoor,,,,,,,,,,
,,,,prison,,,,NP,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,SENELEC,,,,,,,,,,cellular,,,,,,,,,,
,,,,customs,,,,Peugeot,,,,,,,,,,,1990,,,,,,,,,,,,,,,,,,,CEPSA,,,,,,,,,,craft,,,,,,,,,,
,,,,arts_centre,,,,HSBC,,,,,,,,,,,1705,,,,,,,,,,,,,,,,,,,Baobab Company,,,,,,,,,,tobacco,,,,,,,,,,
,,,,bench,,,,Mitsubishi,,,,,,,,,,,395,,,,,,,,,,,,,,,,,,,Bank Windhoek,,,,,,,,,,souvenirs,,,,,,,,,,
,,,,watering_place,,,,Yamaha,,,,,,,,,,,1150,,,,,,,,,,,,,,,,,,,Centre de Santé Gatumba,,,,,,,,,,fishing,,,,,,,,,,
,,,,gym,,,,Petro-Peru,,,,,,,,,,,485,,,,,,,,,,,,,,,,,,,Ziz,,,,,,,,,,beauty,,,,,,,,,,
,,,,health_post,,,,shell,,,,,,,,,,,523,,,,,,,,,,,,,,,,,,,fresh life (kwa reuben),,,,,,,,,,jewelry,,,,,,,,,,
,,,,fountain,,,,Brio,,,,,,,,,,,1425,,,,,,,,,,,,,,,,,,,Sotra,,,,,,,,,,mall,,,,,,,,,,
,,,,compressed_air,,,,COPEC,,,,,,,,,,,370,,,,,,,,,,,,,,,,,,,Poste Maroc,,,,,,,,,,houseware,,,,,,,,,,
,,,,library,,,,Petrobrás,,,,,,,,,,,750,,,,,,,,,,,,,,,,,,,Bank of Africa,,,,,,,,,,alcohol,,,,,,,,,,
,,,,kindergarten,,,,Cajero Helm,,,,,,,,,,,990,,,,,,,,,,,,,,,,,,,Conoil,,,,,,,,,,fishmonger,,,,,,,,,,
,,,,polling_station,,,,Masgas,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,County Government of Muranga,,,,,,,,,,shoes,,,,,,,,,,
,,,,parking,,,,Trebol,,,,,,,,,,,430,,,,,,,,,,,,,,,,,,,DWNP,,,,,,,,,,optician,,,,,,,,,,
,,,,social_facility,,,,Banelco,,,,,,,,,,,1045,,,,,,,,,,,,,,,,,,,BBVA,,,,,,,,,,seafood,,,,,,,,,,
,,,,social_centre,,,,Bandeira Branca,,,,,,,,,,,1972.28,,,,,,,,,,,,,,,,,,,Toilets,,,,,,,,,,scuba_diving,,,,,,,,,,
,,,,mobile_money_agent,,,,Petrobras,,,,,,,,,,,1360,,,,,,,,,,,,,,,,,,,ECOBANK,,,,,,,,,,coffee,,,,,,,,,,
,,,,cafe,,,,GAS,,,,,,,,,,,1710,,,,,,,,,,,,,,,,,,,CTT,,,,,,,,,,internet,,,,,,,,,,
,,,,Centre de Recherche,,,,Esso,,,,,,,,,,,1340,,,,,,,,,,,,,,,,,,,Telkom,,,,,,,,,,chemist,,,,,,,,,,
,,,,emergency_phone,,,,Multimarca,,,,,,,,,,,1979.97,,,,,,,,,,,,,,,,,,,Pour flash offset,,,,,,,,,,hardware,,,,,,,,,,
,,,,bbq,,,,Autobanco,,,,,,,,,,,240,,,,,,,,,,,,,,,,,,,ETC,,,,,,,,,,tattoo,,,,,,,,,,
,,,,preschool,,,,Copetrol,,,,,,,,,,,651,,,,,,,,,,,,,,,,,,,TITSA,,,,,,,,,,antiques,,,,,,,,,,
,,,,college,,,,Agira,,,,,,,,,,,2130,,,,,,,,,,,,,,,,,,,Public toilet,,,,,,,,,,office,,,,,,,,,,
,,,,fire_hydrant,,,,GOMERIA,,,,,,,,,,,2750,,,,,,,,,,,,,,,,,,,Airports Company South Africa,,,,,,,,,,vacuum_cleaner,,,,,,,,,,
,,,,coworking_space,,,,National Petroleum,,,,,,,,,,,825,,,,,,,,,,,,,,,,,,,Vodafone,,,,,,,,,,hunting,,,,,,,,,,
,,,,patrimonio_cultural,,,,Eg3,,,,,,,,,,,185,,,,,,,,,,,,,,,,,,,MTL,,,,,,,,,,plastic_plants,,,,,,,,,,
,,,,auditorium,,,,Itaú,,,,,,,,,,,3060,,,,,,,,,,,,,,,,,,,Naviera Armas,,,,,,,,,,bed,,,,,,,,,,
,,,,boat_rental,,,,Suzuki,,,,,,,,,,,390,,,,,,,,,,,,,,,,,,,ZIZ,,,,,,,,,,agriculture,,,,,,,,,,
,,,,,,,,Kia,,,,,,,,,,,980,,,,,,,,,,,,,,,,,,,MCB,,,,,,,,,,cleaning,,,,,,,,,,
,,,,love_hotel,,,,Charrua,,,,,,,,,,,830,,,,,,,,,,,,,,,,,,,Pour flush offset,,,,,,,,,,medical_supply,,,,,,,,,,
,,,,idp_site,,,,Petrocomercial,,,,,,,,,,,1500,,,,,,,,,,,,,,,,,,,Absa,,,,,,,,,,wood,,,,,,,,,,
,,,,building,,,,OIL,,,,,,,,,,,1890,,,,,,,,,,,,,,,,,,,Coped,,,,,,,,,,food,,,,,,,,,,
,,,,keymaker,,,,Del Puente,,,,,,,,,,,340,,,,,,,,,,,,,,,,,,,Jammie Shuttle,,,,,,,,,,fuelwood,,,,,,,,,,
,,,,tec_common,,,,PagoFacil,,,,,,,,,,,360,,,,,,,,,,,,,,,,,,,Spar,,,,,,,,,,security,,,,,,,,,,
,,,,bicycle_repair_station,,,,ALE,,,,,,,,,,,680,,,,,,,,,,,,,,,,,,,Maki Company,,,,,,,,,,moving,,,,,,,,,,
,,,,residential,,,,Primax,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,Maigoiya Primary School,,,,,,,,,,printing,,,,,,,,,,
,,,,food,,,,Caixa Econômica Federal,,,,,,,,,,,1595,,,,,,,,,,,,,,,,,,,La Caja de Canarias,,,,,,,,,,Bathroom furnishing,,,,,,,,,,
,,,,hostel:homeless,,,,PDVSA,,,,,,,,,,,353,,,,,,,,,,,,,,,,,,,NOC,,,,,,,,,,motorcycle_parts,,,,,,,,,,
