access,admin_level,aerialway,aeroway,amenity,area,barrier,bicycle,brand,bridge,boundary,building,construction,covered,culvert,cutting,denomination,disused,embankment,foot,generator:source,harbour,highway,historic,horse,intermittent,junction,landuse,leisure,lock,man_made,military,motorcar,natural,office,oneway,operator,place,power,power_source,public_transport,railway,religion,route,service,shop,sport,surface,toll,tourism,tower:type,tracktype,tunnel,water,waterway,wetland,wood
permissive,8,station,helipad,car_sharing,highway,city_wall,yes,Afriquia,yes,local_authority,undefined,industrial,no,,,seventh_day_adventist,maybe,yes,yes,coal,yes,primary,memorial,yes,yes,roundabout,wetland,resort,,store room,air defence,yes,wetland,red_cross,-1,University of Health and Allied Sciences,hamlet,cable_distribution_cabinet,hydro,platform,construction,buddhist,road,20/2/2014,doityourself,diving,paved,yes,resort,observation,grade1,yes,salt_lake,waterfall,mangrove,mixed
restricted,9,,apron,restaurant;bar,0.002,wire_fence,no,agil,,national_park,administrative,commercial,yes,,,christian,yes,,permissive,diesel,,unclassified,ruins,no,,,churchyard,birding_site,,drying_area,airfield,no,old_coastline_import,administrative,no,Civil Government,province,transformer,coal,station,engine_shed,bahai,foot,dinar,pet,Soccer,mud,,wilderness_hut,communication,grade2,,wetland,weir,salt pan,broad-leaved
"bing, survey",2,,navigationaid,courthouse,0.006,entrance,dismount,Agil,,civil,office,residential_R+4,,,,Lutheran,,,no,fossil,,secondary,battlefield,private,,,office,pool,,water,barracks,,glacier,religion,yes,BNA,archipelago,gas,gas,stop_area,platform,Church Jehova,bing,dealer,florist,team_handball,rocky,,motel,cooling,grade3,,lagoon,reservoir,saltern,eucalypt
destination,6,,hangar,culture_center,0.001,dry_bush,private,BMW,,protected_area,roof = permanent ,subway,,,,tamul,,,designated,gas,,footway,wayside_cross,designated,,,farmy,garden,,something,bunker,,ridge,telecommunication,,Centro Comercial Las Terrazas,islet,substation,fossil,stop_position,roundhouse,spiritualist,bus,driveway,car_repair,multi,salt,,theme_park,defensive,grade4,,reservoir,swimming_pool,saltmarsh,palmtrees
bing,4,,runway,office,school,retaining_wall,,BP,,administrative,storage_tank,yes,,,,presbyterian,,,,geothermal,,track,archaeological_site,,,,field,bath,,water_well,checkpoint,,archipelago,insurance,,Ghana Education Service,village,generator,oil,,station,hindu,,parking_aisle,convenience,archery,pebbles,,information,bell_tower,grade5,,pool,wadi,swamp,evergreen
designated,5,,building,spa,0.011,gate,,Caltex,,natural,university,hotel,,,,new_apostolic,,,,hydro,,tertiary,laundry,,,,urban,Helicopter_landing,,reservoir_uncovered,danger_area,,wadi,lawyer,,CITYPARK,town,plant,,,traverser,Maison de Soeurs des Sacrees Coeurs,,yard,car,lucha_canaria,cobblestone,,hostel,church,,,waste,stream,wet_meadow,Olivier
customer,10,,terminal,Porcherie,0.009,hedge,,CEPSA,,town,stadium,retail,,,,tamoul,,,,oil,,trunk,heritage,,,,pit,nature_reserve,,storage_tank,hangar,,riverbank,yes,,PAM,locality,switchgear,,,crossing_box,tamil,,alley,furniture,paddel,earth,,guest_house,,,,islet,riverbank,tidalflat,olive
private,3,,tower,childcare,0.012,yes,,Combustibles Canarios S.A.,,yes,"yes,_office",hut,,,,methodist,,,,solar,,bus_stop,monastery,,,,bronfield,slipway,,antenna,naval_base,,rock_fall,educational_institution,,"BP, Sonatrach, Statoil",Residencial Faro Park,station,,,rail,muslim,,aircraft control,electronics,climbing,grass,,chalet,,,,salt,dock,yes,deciduous
bing; survey,7,,yes,sauna,0.019,poles,,Corlay,,political,roof = permanent,school,,,,advantist,,,,waste,,raceway,boundary_stone,,,,yes,dance,,crane,range,,outcrop,therapist,,Alpine Heath Resort,neighbourhood,tower,,,signal_box,christian,,aircraft_control,funeral_directors,mini_golf,gravel,,attraction,,,,riverbank,res,oasis,nipa_palm
official,11,,office,yes,0.003,fence,,Elf,,catchment_area,q,residential,,,,ibadi,,,,wind,,steps,castle,,,,resod,residential,,petroleum_well,trench,,farmland,School,,Tati Nickel Mining Company,county,line,,,yes,jewish,,bing,musical_instrument,rugby_union,asphalt,,caravan_site,,,,creek,drain,marsh,Cashew
customers,0,,fuel,jail,yes,wall,,Elton,,postal,collapse,building,,,,anglican,,,,nuclear,,pedestrian,wreck,,,,meadow,playground,,tank,yes,,fell,accountant,,MAETUR,island,converter,,,,Cristã,,dealer;repair;parts;tyres,carparts,model_aerodrome,sett,,viewpoint,,,,riverbed,canal,lake,forest
public,,,taxiway,nightclub,courtyard,toll_booth,,Engen,,postal_code,toilets,primary,,,,catholic,,,,biofuel,,bridleway,fort,,,,recreation_ground,sauna,,embankment,,,shoal,administration,,CDC,suburb,yes,,,,Testigos_de_Jehová,,dealer;tyres;parts;repair;electrical,stationery,soccer;athletics,pebblestone,,apartment,,,,pond,lock,bog,palm
no,,,bunker,university,0.004,embankment,,Ford,,political_fraction,gatehouse,apartments,,,,baptist,,,,,,rest_area,no,,,,hospital,yes,,lighthouse,,,island,research,,H.E.S.S.,district,sub_station,,,,multifaith,,parts,yes,Handball,grass_paver,,zoo,,,,wa,dam,reedbed,tree_rows
taxi,,,parachute_dropzone,clock,yeas,kerb,,Galana,,maritime,Pavilion,Arquibancada,,,,reformed,,,,,,services,building,,,,railway,bird_hide,,fuel_storage_tank,,,woodland,government,,IFT,yes,,,,,Todas,,electrical,cosmetics,rugby,unpaved,,camp_site,,,,river,river,mud,coniferous
delivery,,,aerodrome,hospital,0.023,ditch,,Gapco,,water_protection_area,Administration,service,,,,orthodox,,,,,,platform,meteor_crater,,,,resid,stadium,,reservoir_covered,,,mountain_range,newspaper,,SGS ITV,city_block,,,,,Christian,,dealer;repair,deli,chess,ground,,picnic_site,,,,stagnant_pool,ditch,fen,yes
