access,admin_level,aerialway,aeroway,amenity,area,barrier,bicycle,brand,bridge,boundary,building,capital,construction,covered,culvert,cutting,denomination,disused,ele,embankment,foot,generator:source,harbour,highway,historic,horse,intermittent,junction,landuse,leisure,lock,man_made,military,motorcar,natural,office,oneway,operator,place,poi,power,power_source,public_transport,railway,religion,route,service,shop,sport,surface,toll,tourism,tower:type,tunnel,water,waterway,wetland,wood
Pont sur la riviere Yegue,8,station,helipad,car_sharing,yes,gate;entrance,no,Seat,yes,administrative,office,8,yes,no,yes,yes,seventh_day_adventist,no,1110,false,no,hydro,yes,unclassified,ruins,no,yes,roundabout,military,hot_spring,yes,water_well,airfield,no,wetland,administrative,yes,Civil Government,hameau,,switch,hydro,stop_area,switch,Christianity,Camino de Candelaria,aircraft_control,Quincaillerie,kitesurfing,paved,yes,hotel;camping,Digester,culvert,tank,Luku,saltmarsh,deciduous
official,9,cable_car,hangar,planetarium,great hall,block,private,Cal Bank,culvert,proposed,mosque,Koumra,hospital,yes,,,russian_orthodox,yes,837,yes,private,gas,,footway,memorial,private,,yes,reservoir,miniature_golf,,storage_tank,naval_base,permissive,ridge,commercial,no,BNA,hamlet,,cable_distribution_cabinet,biofuel,platform,subway_entrance,buddhist,foot,dealer,pet,diving,concrete,,motel,observation,yes,lagoon,wadi,swamp,coniferous
clients,2,pylon,threshold,courthouse,,entrance,garage,ABSA,,protected_area,storage_tank,Rumbek,station,desconocido,,,church_of_god,,157,,yes,fossil,,stop,milestone,yes,,crossing,village_green,horse_riding,,gasfield,nuclear_explosion_site,private,gorge,foundation,,Ghana Education Service,province,,transformer,oil,yes,stop,christian,road,dealer;repair;parts,florist,team_handball,paving_stones,,theme_park,crossing,,reservoir,lock_gate,tidalflat,baobab
delivery,4,proposed,tower,office,,water_well,yes,Sonangol,,marker,windows,4,,,,,Lutheran,,2133.3000000000002,,permissive,gasoline,,speed_camera,battlefield,permissive,,,commercial,hackerspace,,antenna,range,yes,water,telecommunication,,Khungubwe,archipelago,,substation,wind,stop_position,buffer_stop,jewish,40,driveway,music,shooting,dirt/sand,,information,floodlight,,basin,dock,marsh,mixed
yes,6,yes,waypoint,ministry,,poles,permissive,NOC,,,yes,5,,,,,Full Gospel,,854,,designated,solar,,incline_steep,village,,,,livestock,garden,,crane,checkpoint,designated,wadi,igo,,SODIPARC,town;hamlet,,generator,,station,abandoned,bahai,44,elevetor,car_repair,multi,unpaved,,residence,radar,,water_well,stream,,palm
Pont,10,platform,gate,hand_pump,,wall,dismount,Mercedes-Benz,,,cathedral,yes,,,,,presbyterian,,1734,,customer,wind,,four_way_stop,wayside_cross,,,,grass,fitness_centre,,well,barracks,,source,yes,,Rapid Transit System,locality,,portal,,stop_postion,abandoned_station,sikh,,parking_aisle,locksmith,billiards,ground,,hostel,communication,,intermittent,falls,,
restricted,7,no,maybe,spa,,access_control,designated,Pétro Ivoire,,,university,6,,,,,new_apostolic,,1974.6900000000001,,,coal,,bus_stop,aircraft_wreck,,,,farmland,nature_reserve,,tank,bunker,,cave_entrance,educational_institution,,Parque Nacional de Garajonay,neighbourhood,,plant,,,station,Islam,,parts,car,archery,fine_gravel,,chalet,lighting,,stream,water_fall,,
destination,5,,radar,well,,hampshire_gate,,Gapco,,,hospital,10,,,,,coptic,,1982.3800000000001,,,diesel,,milestone,city_gate,,,,market,slipway,,lighthouse,school,,riverbank,therapist,,Sixt,county,,Poste_de_Transformation_Haute_Tension,,,tram_stop,voodoo,,repair,vacuum_cleaner,snorkeling,dirt,,guest_house,branch,,lake,ford,,
Permit Only,,,holding_position,crematorium,,w,,WAS,,,hangar,7,,,,,musulman,,666.80999999999995,,,oil,,firth,archaeological_site,,,,residential,fitness_station,,checkpoint,,,p,accountant,,Air Austral,island,,pole,,,level_crossing,other,,tyres,funeral_directors,scuba_diving,grass,,viewpoint,cooling,,pond,drain,,
government,,,airport,border_control,,debris,,BMCI,,,roof,,,,,,methodist,,258,,,biofuel,,steps,laundry,,,,orchard,park,,cave,,,saddle,architect,,Boulangeries Paul SAS,suburb,,station,,,halt,islam,,video_sells,musical_instrument,racquet,sand,,attraction,defensive,,well,canal,,
Public,,,parachute_dropzone,sauna,,checkpoint,,Crédit Agricole du Maroc,,,chapel,,,,,,ibadi,,1861.25,,,,,junction,pub,,,,forest,dance,,oilfield,,,well,administration,,Sirte Oil Company,mountain_range,,tower,,,turntable,spiritualist,,alley,stationery,climbing,gravel,,caravan_site,bell_tower,,Lake,delta,,
female,,,obstacle,cité,,planter,,International Commercial Bank,,,farm_auxiliary,,,,,,anglican,,1051,,,,,traffic_calming,statue,,,,quarry,video_arcade,,reservoir_covered,,,fell,research,,UWA,country,,planned,,,crossing,hindu,,bascule,yes,rugby_union,metal,,zoo,termination,,,dam,,
ngo,,,aerodrome,yes,,border_control,,Oando,,,panel_house,,,,,,catholic,,160,,,,,street_lamp,restaurant,,,,plant_nursery,pitch,,yes,,,rock_shelter,government,,KNUST,district,,yes,,,yes,muslim,,dealer;repair,cosmetics,model_aerodrome,asphalt,,camp_site,oil rig,,,river,,
fee,,,navigation_aid,ice_cream,,chain,,station,,,Yes,,,,,,baptist,,2430,,,,,motorway_junction,threshing_floor,,,,greenhouse_horticulture,spa,,cereal_bank,,,island,newspaper,,inwi,former_village,,power socket,,,disused,umbanda,,repair;tyres;parts,deli,rugby,cobblestone,,spa_resort,transition,,,boatyard,,
private,,,windsock,community_cinema,,guard_rail,,Lake Oil,,,hotel,,,,,,united,,503,,,,,unknown,yes,,,,allotments,playground,,stone,,,oilfield,security,,SGBCI,yes,,sub_station,,,tram_station,Cristã,,,ice_cream,paragliding,Arenilla,,yes,silo,,,rapids,,
agricultural,,,PAPI,university,,cycle_barrier,,Exel,,,garages,,,,,,reformed,,1271,,,,,ford,wayside_shrine,,,,retail,wildlife_hide,,tomb,,,cave,ngo,,Regional,b,,street_pole,,,proposed,Gnosis,,,dvd_rental,swimming,earth,,museum,suspension,,,water_point,,
customers,,,parking_position,recreation_ground,,yes,,LR,,,V.k company limited,,,,,,shia,,907,,,,,roundabout,pillory,,,,construction,sauna,,pier,,,rock,company,,Jinja Sailing Club,bay,,switchgear,,,junction,popular,,,party,golf,,,monument,navigation,,,distribution_tower,,
no,,,no,restaurant_closed,,stile,,Cmh,,,bunker,,,,,,orthodox,,126,,,,,residential,city,,,,yes,picnic,,water_Well,,,wood,association,,Alice Ingham Primary School,farm,,pylon,,,construction,evangélica,,,informal_traders,football,,,holiday_resort,minaret,,,yes,,
multifamily,,,terminal,hospital,,fence,,"Diesel, Gasoline",,,collapsed,,,,,,Temoin de Jehova,,2550,,,,,checkpoint,monument,,,,garages,yes,,radio_telescope,,,yes,estate_agent,,Kenya Agricultural Research Institute,national_park,,fixed_series_compensation,,,platform,Espirita,,,dive,boules,,,sign,watchtower,,,fuel,,
Hauling Mill Nsongtah,,,yes,blackboard,,toll_booth,,OilCom,,,ruins,,,,,,Freemason,,2370,,,,,street_light,house,,,,warehouse,bird_hide,,rocks,,,stone,private,,National Bank of Malawi,oasis?,,,,,railway_crossing,Evangélica,,,garden_centre,10pin,,,lodge,anchor,,,waterfall,,
amateur,,,displaced_threshold,game_arcade,,bump_gate,,Kenol,,,tools,,,,,,others,,1420.97,,,,,yes,mine,,,,recreation_ground,track,,shaft,,,lake,service,,Caja Rural de Canarias,region,,,,,railway_entrance,oasqueira,,,tiles,gym,,,ferry_terminal,water,,,weir,,
designated,,,fuel,public_building,,lift_gate,,Tamoil,,,Jemsha comm limited,,,,,,assemblies_of_god,,1875.1900000000001,,,,,construction,tomb,,,,farm,stadium,,’épaule de mouton,,,bay,employment_agency,,Banque Nationale d'Algérie,municipality,,,,,workshop,pachamama,,,furniture;interior_decoration,volleyball,,,Hiking_Tours,telecommunication,,,stre,,
unknown,,,papi,biergarten,,bollard,,Texaco,,,dormitory,,,,,,roman_catholic,,2730,,,,,secondary,icon,,,,meadow,amusement_arcade,,tower,,,waterfall,cbo,,Société Générale,Scout Camp,,,,,rail,Protestante,,,photographer,bowls,,,apartment,airport,,,milestone,,
forestry,,,navigationaid,post_office,,jersey_barrier,,Inov,,,weather_station,,,,,,non-denominational,,1969.8800000000001,,,,,primary,gate,,,,vineyard,swimming_pool,,telescope,,,land,ong,,Botswana Telecommunications Corporation,place,,,,,,catolica,,,gas,motor,,,gallery,air_traffic_control,,,mooring,,
public,,,airstrip,bulding,,cattle_grid,,ORYX,,,<different>,,,,,,moravian,,710,,,,,track,cannon,,,,land,water_park,,pumping_station,,,massif,it,,University of Develpment Studies,sea,,,,,,católica,,,variety_store,soccer,,,picnic_site,defensive;observation,,,offshore_field,,
