access,admin_level,aerialway,aeroway,amenity,area,barrier,bicycle,brand,bridge,boundary,building,capital,construction,covered,culvert,cutting,denomination,disused,ele,embankment,foot,generator:source,harbour,highway,historic,horse,intermittent,junction,landuse,leisure,lock,man_made,military,motorcar,natural,office,oneway,operator,place,poi,power,power_source,public_transport,railway,religion,route,service,shop,sport,surface,toll,tourism,tower:type,tunnel,water,waterway,wetland,wood
official,8,station,helipad,car_sharing,yes,block,no,Gapco,yes,administrative,office,8,yes,no,,,seventh_day_adventist,no,1140,,no,hydro,yes,unclassified,ruins,no,yes,roundabout,military,miniature_golf,,water_well,airfield,no,wetland,administrative,yes,Rapid Transit System,hamlet,,switch,wind,stop_area,switch,christian,Camino de Candelaria,dealer;repair;parts,pet,diving,paved,yes,motel,observation,culvert,intermittent,lock_gate,marsh,deciduous
yes,9,pylon,hangar,courthouse,,entrance,private,Caltex,,,mosque,4,hospital,yes,,,presbyterian,yes,1760,,private,gas,,stop,memorial,yes,,yes,reservoir,garden,,storage_tank,nuclear_explosion_site,permissive,ridge,commercial,,KNUST,province,,cable_distribution_cabinet,hydro,platform,subway_entrance,jewish,foot,parking_aisle,florist,multi,concrete,,theme_park,communication,,lake,dock,swamp,coniferous
destination,2,yes,tower,office,,wall,yes,Repsol,,,yes,5,,,,,methodist,,1998.24,,yes,solar,,speed_camera,battlefield,,,,commercial,nature_reserve,,antenna,checkpoint,private,water,telecommunication,,Privés,locality,,transformer,,stop_position,buffer_stop,hindu,road,dealer,music,scuba_diving,unpaved,,information,lighting,,pond,stream,,palm
private,4,platform,gate,hand_pump,,hampshire_gate,dismount,NAFTAL,,,university,yes,,,,,anglican,,60,,permissive,wind,,incline_steep,wayside_cross,,,,livestock,slipway,,crane,barracks,yes,wadi,yes,,Telefonica,neighbourhood,,substation,,station,abandoned,muslim,40,dealer;repair,car_repair,climbing,ground,,hostel,branch,,well,canal,,
customers,6,no,holding_position,yes,,checkpoint,permissive,CMH,,,hospital,6,,,,,catholic,,1860,,designated,diesel,,four_way_stop,city_gate,,,,grass,park,,well,range,,source,educational_institution,,Total Côte d'Ivoire,county,,generator,,,station,buddhist,,tyres,locksmith,swimming,fine_gravel,,chalet,cooling,,reservoir,dam,,
no,10,,obstacle,ice_cream,,border_control,designated,Kobil,,,hangar,10,,,,,baptist,,1979.49,,,oil,,bus_stop,archaeological_site,,,,farmland,dance,,lighthouse,,,cave_entrance,accountant,,MSF,island,,portal,,,tram_stop,spiritualist,,,car,golf,dirt,,guest_house,bell_tower,,,river,,
multifamily,5,,aerodrome,university,,chain,,Toyota,,,roof,,,,,,united,,1630,,,coal,,milestone,yes,,,,residential,pitch,,reservoir_covered,,,saddle,architect,,La Caixa,suburb,,pole,,,level_crossing,,,,musical_instrument,football,grass,,viewpoint,termination,,,boatyard,,
unknown,,,navigation_aid,hospital,,cycle_barrier,,Oilibya,,,chapel,,,,,,reformed,,1999.2,,,,,steps,wayside_shrine,,,,forest,playground,,cereal_bank,,,fell,administration,,Rodeste,country,,station,,,halt,,,,stationery,volleyball,sand,,attraction,oil rig,,,rapids,,
public,,,windsock,blackboard,,yes,,MRS,,,panel_house,,,,,,shia,,150,,,,,traffic_calming,pillory,,,,quarry,sauna,,tomb,,,rock_shelter,research,,Universidad de La Laguna,yes,,tower,,,turntable,,,,yes,bowls,gravel,,caravan_site,transition,,,water_point,,
permissive,,,parking_position,public_building,,stile,,Independent,,,Yes,,,,,,orthodox,,715,,,,,street_lamp,monument,,,,plant_nursery,yes,,pier,,,island,government,,SNCC,farm,,yes,,,crossing,,,,cosmetics,soccer,asphalt,,zoo,silo,,,yes,,
designated,,,terminal,biergarten,,fence,,Total,,,hotel,,,,,,others,,540,,,,,motorway_junction,tomb,,,,retail,bird_hide,,shaft,,,oilfield,newspaper,,Engen,region,,sub_station,,,stop,,,,deli,athletics,cobblestone,,camp_site,suspension,,,waterfall,,
AR,,,navigationaid,post_office,,toll_booth,,TOTAL,,,garages,,,,,,roman_catholic,,200,,,,,unknown,boundary_stone,,,,construction,track,,tower,,,rock,ngo,,Ecobank,municipality,,street_pole,,,proposed,,,,garden_centre,water_sports,,,yes,minaret,,,weir,,
agricultural,,,pylon,bulding,,bump_gate,,Puma,,,collapsed,,,,,,jehovahs_witness,,1720,,,,,ford,castle,,,,yes,stadium,,telescope,,,wood,company,,BP,state,,pylon,,,yes,,,,variety_store,equestrian,,,museum,anchor,,,milestone,,
,,,,taxi,,lift_gate,,Agil,,,dormitory,,,,,,pentecostal,,2850,,,,,roundabout,wreck,,,,recreation_ground,swimming_pool,,mill,,,yes,association,,FJKM,historical_state,,,,,railway_crossing,,,,photo_studio,free_flying,,,sign,crossing,,,offshore_field,,
,,,,toilets,,bollard,,OiLibya,,,school,,,,,,evangelical,,265,,,,,residential,no,,,,farm,water_park,,cairn,,,stone,estate_agent,,SOTRACO,crowded,,,,,,,,,clothes,tennis,,,apartment,defensive,,,soakhole,,
,,,,fire_station,,cattle_grid,,Ziz,,,kitchen,,,,,,lutheran,,1880,,,,,street_light,milestone,,,,vineyard,common,,communications_dish,,,bay,private,,ABSA,quarter,,,,,,,,,baby_goods,basketball,,,picnic_site,Torre funicular,,,turning_point,,
,,,,car_rental,,sally_port,,Afriquia,,,shed,,,,,,ethiopian_orthodox_tewahedo,,1650,,,,,yes,aircraft,,,,industrial,sports_centre,,adit,,,waterfall,service,,Traditional pit latrine,isolated_dwelling,,,,,,,,,organic,cricket,,,artwork,communication:mobile_phone=yes,,,wreck,,
,,,,pub,,kissing_gate,,Engen,,,garage,,,,,,adventist,,7,,,,,secondary,citywalls,,,,basin,marina,,buoy,,,land,employment_agency,,CFU,city,,,,,,,,,dairy,gymnastics,,,hotel,,,,,,
,,,,atm,,gate,,Shell,,,public,,,,,,sunni,,1410,,,,,track,building,,,,landfill,golf_course,,survey_point,,,valley,cbo,,Algoa Bus,islet,,,,,,,,,lottery,chess,,,alpine_hut,,,,,,
,,,,bank,,speed_bump,,BP,,,retail,,,,,,mormon,,630,,,,,mini_roundabout,,,,,cemetery,picnic_table,,water_works,,,peak,it,,BFV-SG,village,,,,,,,,,bicycle,10pin,,,wine_cellar,,,,,,
,,,,internet_cafe,,swing_gate,,GALP,,,farm,,,,,,dutch_reformed,,1190,,,,,emergency_access_point,,,,,farmyard,fishing,,watermill,,,cape,political_party,,Stanbic Bank,town,,,,,,,,,tailor,skiing,,,bed_and_breakfast,,,,,,
,,,,recycling,,hedge,,ZIZ,,,apartments,,,,,,protestant,,1700,,,,,crossing,,,,,allotments,firepit,,silos,,,point,physician,,Telefónica,unknown,,,,,,,,,perfumery,table_tennis,,,tower,,,,,,
,,,,embassy,,debris,,Petrom,,,industrial,,,,,,Evangélica,,550,,,,,services,,,,,aquaculture,club,,oven,,,beach,travel_agent,,Gautrain,,,,,,,,,,laundry,skating,,,,,,,,,
