access,admin_level,aerialway,aeroway,amenity,area,barrier,bicycle,brand,bridge,boundary,building,capital,construction,covered,culvert,cutting,denomination,disused,ele,embankment,foot,generator:source,harbour,highway,historic,horse,intermittent,junction,landuse,leisure,lock,man_made,military,motorcar,natural,office,oneway,operator,place,poi,power,power_source,public_transport,railway,religion,route,service,shop,sport,surface,toll,tourism,tower:type,tunnel,water,waterway,wetland,wood
limit naturel d'Okola et Nkolmekouma,,,holding_position,residence toubouctou,"3193,83 km²",w,,Mercedes-Benz,,,Braham Court,Rumbek,,,,,Ech Cherifia,,679.772705,,,Agua,,steps,Educational,,,,park,slipway,,fuel_storage_tank,radar,,water_well,Cbo,,AAR&JUBILEE,Farm Digby,,planned,,,crossing,Islam,,elevetor,locksmith,Boxe,unpaved from here direction Walewale,,residence,floodlight,,riverbank,water_fall,,
clients,,,airport,2nd Hand Goods,481.53,debris,,Air Mali,,,windows,4,,,,,Eglise St Francois,,1039.88500976563,,,nuclear,,junction,archaeological_site,,,,farmland,gymnasium,,sawmill,school,,cave_entrance,translation,,CBAO,island,,yes,,,yes,voodoo,,emergency_access,sewing_machines,Amaan Stadium,grass,,hostel,radar,,yes,spring,,
delivery,,,parachute_dropzone,office,,landslide,,UT Bank,,,Heads Nav Beacon,Dessie,,,,,methodiste,,5109,,,UDOP,,traffic_calming,laundry,,,,market,snorkelling,,cave,,,riverbank,campany,,Association Centrafricaine pour le Bien-Etre Familial,Klein Karas,,oil,,,disused,other,,gym | sauna | aerobics | massage,car,snorkeling,sand,,chalet,Assistance au vulnérable,,lake,unknown,,
yes,,,obstacle,ministry,,border_controll,,AmelOil,,,Sede PPD-PSD Machico,Addis Ababa,,,,,church_of_god,,2133.3000000000002,,,,,pedestrian,ship wreck,,,,residential,fitness_station,,oilfield,camp,,p,telecommunication,,Alvis Waye-Hive,salt_flat,,power socket,,,construction,multifaith,,law_firm,video_rental,judo,gravel,,guest_house,communication,,drainage channel,ford,,
Limit naturel de Nkold-Jobe,,,aerodrome,hand_pump,,fence wire,,Michelin,,,yes,Adama,,,,,Charismatic Church,,"604,71 m.",,,,,bridleway,pub,,,,orchard,youth_centre,,reservoir_covered,danger_area,,saddle,taxe,,Mövenpick,suburb,,sub_station,,,disused_locomotive,private,,Maintenance-reseau-formation-telecom,vacuum_cleaner,scuba_diving,metal,,viewpoint,communication_اتصالات,,drain,drain,,
fence,,,navigation_aid,GlenPak Post Office,,checkpoint,,Excel Oil,,,Pacific stationary  kenya limited,Massawa,,,,,christian,,1314.2595,,,,,Route_déformée,palaeontological_site,,,,home,park,,Flats,headquarters,,well,Political Party,,Zenith,mountain_range,,street_pole,,,leve_crossing,islam,,office,cuisine_et_salle_de_bain,skydiving,asphalt,,attraction,Communication,,well,canal,,
Pont,,,windsock,spa,,planter,,Allied,,,"Land Board, Condom Dispenser.",Harar,,,,,Revival,,854,,,,,street_lamp,statue,,,,forest,dance,,yes,naval base,,cove,Dépôt de Boulangerie,,Ghana Education Service,country,,pylon,,,tram_station,spiritualist,,parking_aisle,funeral_directors,racquet,pebblestone,,caravan_site,Backwater Chest,,pond,private,,
የኢትዮጵያ ንግድ ባንክ,,,PAPI,well,,border_control,,Gas Only,,,Office,Bol,,,,,mesulman,,1833.8499999999999,,,,,motorway_junction,restaurant,,,,quarry,video_arcade,,cereal_bank,reclutamiento,,fell,igo,,SGBC,district,,fixed_series_compensation,,,proposed,Animisme,,parts,Parfumerie-Tabac,climbing,sable,,spa,lighting,,spring,turning_point,,
Border Bamali and Bali,,,parking_position,crematorium,,chain,,Multi-marcas,,,cathedral,Malakal,,,,,Lutheran,,1734,,,,,unknown,suburb,,,,plant_nursery,pitch,,stone,,,rock_shelter,yes,,Khungubwe,dive_site,,light,,,level_corssing,hindu,,"Public Toilet,Public bathrooms,Water Tank",musical_instrument,taekwondo,unpaves,,zoo,branch,,fountain,pond,,
Limit Nkolakie-Nkolfeb,,,no,border_control,,guard_rail,,Pétro Ivoire,,,university,Am Timan,,,,,Full Gospel,,17.91,,,,,ford,cave,,,,llotments,spa,,dish,,,Luwero,PHCN,,Diego Mota Moraleda,isolated_dwelling;hamlet,,,,,junction,tamil,,repair,spa,yes,césped,,camp_site,Water_Intake,,Lake,delta,,
conditional,,,flight_school,sauna,,cycle_barrier,,KenolKobil,,,mosquee,5,,,,,El-Falah,,1974.6900000000001,,,,,living_street,neurologue,,,,greenhouse_horticulture,playground,,monument,,,island,educational_institution,,CITYPARK,former_village,,,,,subway_exit,muslim,,repair;oil,"gift,fabric",rugby_union,Futebol_salão,,hotel centre homeo pharma,cooling,,,dam,,
pont de Djimetta Dolla,,,terminal,cité,,yes,,BP Petrol Station,,,hospital,Nekemte,,,,,سني,,1284.92,,,,,roundabout,threshing_floor,,,,allotments,wildlife_hide,,tomb,,,oilfield,therapist,,SODIPARC,Bing,,,,,platform,umbanda,,South African Police Services,photography,9pin,Polvo_de_Ladrillo,,restaurant,defensive,,,river,,
restricted,,,not_aerodrome,Bridge,,stile,,SEAT,,,Vanila base,Jijiga,,,,,evangelique,,1982.3800000000001,,,,,residential,yes,,,,Jardin d'Essai,sailing,,pier,,,cave,humanitarian,,Rapid Transit System,yes,,,,,railway_crossing,Testemunha_de_Jeová,,survey,stationery,model_aerodrome,Paved,,Go Karting,bell_tower,,,ditch,,
Limit de Nkolnyada/Lebot I,,,yes,ski_rental,,rope,,Gapco,,,hangar,Ati,,,,,AFM,,1182,,,,,checkpoint,wayside_shrine,,,,retail,ice_rink,,water_Well,,,rock,university,,Parque Nacional de Garajonay,shanty_town,,,,,railway_entrance,Cristã,,tyres,yes,canoe_polo,Areia,,spa_resort,communication3,,,s,,
