access,admin_level,aerialway,aeroway,amenity,area,barrier,bicycle,brand,bridge,boundary,building,construction,covered,culvert,cutting,denomination,disused,embankment,foot,generator:source,harbour,highway,historic,horse,intermittent,junction,landuse,leisure,lock,man_made,military,motorcar,natural,office,oneway,operator,place,power,power_source,public_transport,railway,religion,route,service,shop,sport,surface,toll,tourism,tower:type,tracktype,tunnel,water,waterway,wetland,wood
coach,,,yes,motorcycle_parking;bicycle_parking,school,construction,,CMH,,yes,roof = permanent ,dormitory,,,,i,,,,oil,,pedestrian,wine_press,,,,urban,pz,,crane,tgre,,volcano;wetland,forestry,,CBAO,locality,converter,,,signal_box,Islam,,bus,musical_instrument,lucha_canaria,boulders,,camp_site;guest_house,defensive,,,riverbank,dock,yes,Olivier
unknown,,,office,lighthouse,0.073,poles,,Combustibles Canarios S.A.,,nature_reserve,storage_tank,retail,,,,Kimbanguista,,,,solar,,bridleway,caravan_site,,,,pit,Terrain,,petroleum_well,tre,,rock_fall,telecommunication,,"Correios de Moçambique, EP",Residencial Faro Park,yes,,,halt,jewish/christian,,null,carparts,ملعب_بلدي,asphalt,,disused:hotel,Travaux Publics,,,stream,stream,oasis,olive
fee,,,fuel,Poste de santé de DALABA,0.007,fence,,Congo Oil,,wall,benediction_hotel,office,,,,tamul,,,,waste,,emergency_access_point,palaeontological_site,,,,kconstru,fitness_station,,waste power plant,trench,,hot steam,surveyor,,malera H/C III,Residencial Carlos Park,sub_station,,,,Jehovah_Witness,,ADT,convenience;Video Library,judo,sett,,attraction,church,,,fountain,res,marsh,natal_coastal_mist belt
forestry,,,taxiway,childcare,0.029,wall,,Corlay,,political,DREDD,yes,,,,evangelique,,,,wind,,rest_area,boundary_stone,,,,not sure,dance,,tank,yes,,outcrop,constraction,,Nigerian Ministry of Aviation,airport,Distribuição_de_Energia_Elétrica_-_Alta_Voltagem,,,,multifaith,,bing,stationery,paddel,pebblestone,,caravan_site,aircraft_control,,,Swimmingpool,drain,lake,deciduous
private,,,bunker,sauna,0.109,toll_booth,,DACIA,,catchment_area,conm,hotel,,,,Eglise Evangelique du Tchad,,,,Agua,,services,lighthouse,,,,playground,residential,,embankment,25° Batalhão de Caçadores,,wod,adminsitrative,,Infrasors,neighbourhood,,,,,ethiopian_orthodox,,dealer;repair;parts;tyres,charity,"Squash, Bowls etc",Sand,,viewpoint,FIXME,,,we,canal,reedbed,Pépinière
bing; survey,,,parachute_dropzone,yes,0.027,hampshire_gate,,Disa,,land_area,bingy,hut,,,,presbyterian,,,,biofuel,,yes,castle,,,,bronfield,playground,,lighthouse,Radar,,farmland,law firm,,Super marché The Lord Is My Shephered,county,,,,,Christian_-_Anglican,,water_power,yes,Rugby,Synthetic,,House,urbanisme et développement local,,,creek,sudi_,bog,Acacias_et_palmiers
agricultural,,,stopway,cafe;restaurant,0.058,embankment,,EDK Oil,,postal,city_hall,school,,,,Presbyterian_Outreach_Mission Church,,,,,,platform,wreck,,,,escarpment,sauna,,fuel_storage_tank,training_area,,fell,Birao-pokotany,,Força Aérea Portuguesa,Playa Burgao,,,,,Islamic,,dealer;tyres;parts;repair;electrical,cosmetics,soccer; volleyball; basketball,grass_paver,,gallery,Wasserturm,,,riverbed,lock,mud,nipa_palm
official,,,aerodrome,jail,0.018,kerb,,Elf,,locality,university,harbour,,,,Mosquée Patte d'Oie Builders,,,,,,construction,aircraft,,,,yes,yes,,corral,garrison,,shoal,Arwa,,Ghana Education Service,residential,,,,,spiritualist,,parts,Welding Shop,climbing,unpaved,,apartment,Air_Traffic_Control,,,cove,pond,fen,Plantanas
Students,,,UFO_landing_strip,Postulancy,0.012,Brick Walls,,Elton,,postal_code,stadium,parking,,,,new_apostolic,,,,,,service,unesco_world_heritage,,,,resod,bird_hide,,surface_mine,airbase,,island,event hall,,Leonardo Gouveia,Residencial Zafiro,,,,,Christian,,electrical,deli,tennis; golf,ground,,botanical garden,alta_tension,,,pond,river,Vegetação_de_mangue,Cashew
customers,,,windsock,nightclub,0.019,ditch,,Engen,,maritim,"yes,_office",residential,,,,Eglise Apostlique,,,,,,living_street,no,,,,meadow,whirlpool,,reservoir_covered,restricted_area,,lavafield,Church,,Público,island,,,,,masonic,,dealer;parts;repair,ice_cream,"basketball, volleyball, handball",compacted,,zoo,autosoportada,,,olympic_swimming_pool,dam,commercial,La_Foret_de_Saida
public,,,aerobridge,university,0.003,stones,,Exel,,political_fraction,roof = permanent,rail,,,,سنة,,,,,,path,fort,,,,recreation_ground,stadium,,yes,training_base,,woodland,insurance,,الجامعة الآمريكية بالقاهرة,suburb,,,,,Sukyo Mahikari,,siding,motorhome_rental,motor_cross,fine_gravel,,picnic_site,bell,,,wa,ditch,,forest
Ilha dos Arcas,,,,clock,0.059,full-height_turnstile,,Exide Batteries,,shipwreck,q,public,,,,coptic,,,,,,residential,building,,,,oech,Shotgun,,cereal_bank,school,,mountain_range,Company,,Servicio Canario de Salud,district,,,,,hindu,,parts;repair,swimming_pool,cricket;soccer,rock,,camp_site,termination,,,piscine,boatyard,,palm
no,,,,hospital,5650,enclosure,,Fiat - Mazda,,maritime,WORDS GOSPEL CHURCH,building,,,,Masdjid Mossaab,,,,,,road,shipwreck,,,,aresid,so,,fuel_depot,,,rock,yes,,Sonapost,country,,,,,Maison de Soeurs des Sacrees Coeurs,,dealer;repair;tyres;parts,car key and air conditioner service shops,mini_golf,wood,,marché,,,,river,rapids,,Mango
taxi,,,,register_office,0.032,block,,First Pétroleum,,water_protection_area,collapse,golf_course,,,,IQRA,,,,,,motorway,"Ex-résidence Rainiliarivony, Premier ministre",,,,hospital,recreation_ground,,jetty,,,wood,lawyer,,CITYPARK,Residencial Sangrila Park,,,,,tamil,,tyres,chemist,rugby_union,brick,,artwork,,,,dam,spillway,,tree_rows
clients,,,,Commercial residential,Rose Belle,Escola Estadual Izidoro Teixeira,,FNB,,hamlet,"Golf_Clubhouse,_Office",primary,,,,tamoul,,,,,,secondary_link,meteor_crater,,,,Office building,cmmon,,pier,,,yes,educational_institution,,SODIPARC,Natura Palace Apartamentos,,,,,muslim,,dealer;repair,boat,model_aerodrome,clay,,Hotel,,,,stagnant_pool,intermittent,,coniferous
delivery,,,,waste_basket,yes,rfe,,Ford,,village,boys dormitory,unclassified,,,,musulman,,,,,,primary_link,threshing_floor,,,,railway,bleachers,,rocks,,,stone,therapist,,PAM,rock,,,,,Church,,dealer;repair;parts;,crafts,soccer;athletics,yes,,hotel,,,,Drinking_Water_Source,yes,,yes
Bing,,,,swimming_pool,courtyard,fe,,Ford; Hyundai; Jaguar; Land Rover; MAN,,Administrative,Shopping,Restaurante,,,,Mosquée Alnadjah,,,,,,crossing,archaeological-site,,,,resid,bleacher,,slaughterhouse,,,tree_row,harbour,,interMobil,yes,,,,,Traditionnal,,free-wfi,carpets,handball;basket,artificial_turf ,,yes,,,,عين_الصنب,Water Pump Station,,olives
yes,,,,residential_home,0.004,stile,,Galana,,census,7,trunk,,,,methodist,,,,,,plataform,yes,,,,brownfield,National Range,,wastewater_plant,,,lake,United_Nations,,Eglise Protestante du Togo,Los Arcos,,,,,christian,,graphic_design,Auto Electrician,Handball,stone,,wine_cellar,,,,spillway,lake,,Tamariscos
WC,,,,Hedge,Terrain de foot,w,,galp,,place,toilets,hospital,,,,orthodox;catholic,,,,,,elevator,wayside_shrine,,,,cairn,swimming_pool,,water_wells,,,bay,School,,SNCFT,city_block,,,,,Muslin,,repair,hardware,rugby,metal,,alpine_hut,,,,intermittent,undefined,,Cajueiro
emergency,,,,gendarmerie,0.052,all,,Gapco,,Bing,unroofed,railway_station,,,,ibadi,,,,,,trunk_link,pillory,,,,breeding,aquapark,,structure,,,meadow,accountant,,Piet Retief Council,vill,,,,,christianity,,,dive,judo;taekwondo,Asphalt,,ground_sign,,,,yes,dredged_area,,mata_atlântica
Praça General Osório,,,,hospice,0.724,border_control,,GM,,natural_park,gatehouse,Arquibancada,,,,Oceano,,,,,,cycleway,place_of_worship,,,,Marketplace,swimming pool,,mineshaft,,,ood,Ministry of Labour,,Gokomere Mission,Residencial Pechiguera,,,,,pagan,,,photo,chess,tartan,,museum,,,,lake,proposed,,apple
access,,,,Mission Catholique de Kédougou,salt_pond,,,Green Oil,,religious_administration,Pavilion,commerce,,,,Mosquée_du_CHU de Treichville,,,,,,turning_circle,palace,,,,bois,water_park,,tower,,,massif,architect,,CRB,mwingi town centre,,,,,protestante,,,hairdresser,paddle,artificial_turf,,Reception,,,,Fish pond,flow_control,,mangrove
87,,,,passport maktab,0.067,,,Honda,,neighbourhood,Mwanakakula Assemblies of God Church,fuel,,,,advantist,,,,,,no,city,,,,British American Tobacco,Shooting Range,,telescope,,,salt_pan,administration,,"BP, Sonatrach, Statoil",Village,,,,,orthodox,,,garden_centre,basketball;handball,pelouse,,house,,,,Oxbow,degenerated_riverbank,,coqueiros
10,,,,amphitheater,0.013,,,IDC,,yahoo,Skyline signs,sports_centre,,,,anglican,,,,,,,museum,,,,Depot,"playground, bench",,basin,,,rocks,research,,catholic,sunken_island,,,,,jewish,,,estate_agent,"Rugby,_Cricket",concrete:lanes,,Residence,,,,primary,pool,,Caatinga
AR,,,,railway,Kids Play Park,,,independent,,,Kampala University,astronomical_observatory,,,,Lanzarote Bay,,,,,,,monument,,,,quarry,swimming,,bridge,,,valley,Salle de Jeux,,Casino,plot,,,,,Harrist,,,fabric,volleyball; basketball; handball,concrete,,sign,,,,PLAGE,mooring,,Guadua
pri2,,,,public_building,0.041,,,Independent,,,Youth Ministry Condom Dispenser,service,,,,اسامة_ابن_زيد,,,,,,,mine,,,,indusntrial,natural_reserve,,pumping_station,,,dunes,municipality,,Ministere de l'Education Nationale,village; hamlet,,,,,Shrine St. Marie,,,antiques,squasch,stones,,apartments,,,,lake;pond,basin,,*
empregados,,,,boda boda stage,0.143,,,indian oil,,,industry,arts_centre,,,,catholic,,,,,,,house,,,,rfe,resort_beach,,wharf,,,wand,government,,Oilibya Côte d'Ivoire,farm,,,,,christianisme,,,tiles,gaelic_games,paving_stones,,Kibanda Cha Mkaa,,,,Pool,m,,arboles_nativos
limited,,,,biergarten,0.046,,,Inov,,,saloon,Salas_de_Aula,,,,aumonerie,,,,,,,tomb,,,,hotel,swimmig_pool,,water_tank,,,Rock,newspaper,,Ennakl,Residencial Finisterre,,,,,MINEVAM_VILLE,,,Retail;Ladies Saloon,darts,dirt/sand,,apartment_hotel,,,,Water_Source,offshore_field,,Mata_Atlântica
client,,,,military_camp,residencial,,,INOV,,,moderne,refurbishment,,,,baptist,,,,,,,Mission_Station,,,,place_of_workship,football,,fuel_deport,,,coral_reef,Société Nationale des Eaux du Cameroun,,Hamma Feraille,massif,,,,,adventist,,,Centre commercial (T.B),VolleyBall,artificial,,lodge,,,,swimming_pool,oxbow,,cerrado
sim,,,,post_office,0.035,,,JOVENA,,,church hall,,,,,reformed,,,,,,,hospital,,,,port,common,,mill,,,resid,ngo,,Armee Senegalaise,Residencial Aguamarina,,,,,Cristã,,,curio,soccer;basketball,rocks,,hotel;camp_site,,,,swimming pool,river; riverbank,,nature_reserve
restrict,,,,name,0.125,,,Jovenna,,,Administration,,,,,united,,,,,,,temple,,,,aquaculture,landfill,,cairn,,,reserve,land_surveyor,,Horários do Funchal,valley,,,,,candomblé,,,variety_store,Beach Volley,loam,,holiday_rental,,,,Pan,lago Parque cambuí,,mata atlântica
39,,,,doctors,0.077,,,Kenol,,,Kilosa,,,,,shia,,,,,,,railway_station,,,,unclassified,brownfield,,chimney,,,scrubs,Corporate_Office_Space,,Dr DAGNOKO G.,Residencial Punta el Faro,,,,,Evangelicos,,,no,shooting_range,bing,,Monument,,,,resevoir,Represa Faxinal,,Álamos_y_frutales
32,,,,restaurant;casino,yeas,,,Kobil,,,Warehouse,,,,,EPC de balmabo,,,,,,,Antiga_Lagoa_de_1970,,,,plantation,heath,,oil_field,,,brownfield,company,,Sikoka Investments Limited,Playa Vista,,,,,Laico,,,interior_decoration,football,bare_earth,,memorial,,,,reservoir+,aqueduct,,tropical
interpreted from Bing Imagery,,,,bulding,Government House,,,Leader Price,,,gazebo,,,,,Dutch Reform,,,,,,,architecture,,,,nursery,sports_centre,,cooling_tower,,,q,Samala,,Alpine Heath Resort,region,,,,,Catolicismo,,,general stores,long_jump,astroturf,,Casa de Pecho,,,,Sewage_pond,stream; river,,Cerrado_alto
Táxi,,,,food_court,0.116,,,Liberia Petroleum,,,school;religious,,,,,orthodox,,,,,,,tree,,,,ruins,cemetery,,wastewater,,,tree,organization,,Sirte Oil Company,subward,,,,,espírita,,,kiosk,beachvolleyball,bituminous concrete,,aquarium,,,,intermittent_yes,pontoon,,Vegetação_de_mangue
41,,,,social centre,0.074,,,Librairie Papeterie Photocopie Gravure Informatique,,,pavalion,,,,,Nederduits Hervormde,,,,,,,manor,,,,protected_area,greenfield,,pipeline,,,lava_channel,association,,Union Fraternelle des Croyants (UFC),municipality,,,,,macumba,,,clothes,soccer field,Tuff,,love_hotel,,,,Salt,,,seringueira
22,,,,Taxi,mugumoini primary school,,,Libya Oil,,,static_caravan,,,,,Draa Ben Khedda,,,,,,,train_station,,,,lagoon,dog_park,,storage_depot,,,plateau,estate_agent,,Pam Golding,Residencial Ambar,,,,,CATOLICA,,,winery,"Football,_Lancé_de_poids,_Résistance,_Vitesse,",dirt,,motel;love_motel,,,,oxbow,,,Cerrado_stricto_sensu
private3,,,,school:FR,0.044,,,LiquorLand,,,Residential,,,,,Dutch_Reformed,,,,,,,rs,,,,reservoir,pi,,water_reservoir,,,rigde,private,,Tati Nickel Mining Company,Residencial Alisios,,,,,Catolic,,,radiotechnics,running,sand,,cabin,,,,tidal,,,Eucaliptos
,,,,taxi,0.023,,,Michelin,,,detouched,,,,,Mosquée,,,,,,,Hacienda,,,,fary,village_greenfield,,water_basin,,,old_coastltine_import,service,,Barlo World,state,,,,,Testigos_de_Jehová,,,ticket,"tennis,netball",pebble,,summer_camp,,,,canal,,,"tepa,_chilco,_luma,_canelo."
,,,,toilets,0.01,,,Misr Petroleum,,,pub,,,,,Monastere,,,,,,,Lago,,,,village_green,Juba University Football Playground,,kiln,,,marsch,agricultural,,Consejería de Bienestar Social,area,,,,,Evangelico,,,leather,Lutte_traditionelle,blocks,,monument,,,,reflecting_pool,,,oerbos
,,,,water_point,0.014,,,Mobil,,,House,,,,,la chapelle,,,,,,,citywalls,,,,r,COMmon,,damm,,,grassland,employment_agency,,MAETUR,Heredad Kamezi,,,,,Todas,,,wholesale,croquet, pebblestone ,,,,,,Totoras,,,ZCVS_Mata_Atlântica
,,,,shelter,show ground,,,MT,,,poly across classrooms,,,,,coptic_catholic,,,,,,,works,,,,clearing,Common,,radiotelescope,,,volcanic ash,not-for-profit,,Poste Tunisienne,Residencial la Carabela,,,,,scientologist,,,Shops/kiosk,shuffle,Gramado,,,,,,Canal,,,pino
,,,,hotel,0.025,,,Mugg&Bean,,,???,,,,,assemblies_of_god,,,,,,,"antiga_lagoa,1970.",,,,yes+fixme,swi,,communications_dish,,,river,international_organisation,,Aeroportos da Madeira,quarter,,,,,catholic,,,paint,bowls,Grama_(Cesped),,,,,,Balneario,,,atlantica
,,,,waste_site,0.016,,,multi,,,Under_Construction,,,,,traditional Éwé,,,,,,,Antiga_Lagoa_em_1970,,,,grass,resident,,adit,,,wetlands,Dépôt de Boisson,,best Western,informal,,,,,baptist,,,video,volleyball,synteti,,,,,,mangrove,,,Cerrado_stricto_sensu (em recuperação).
,,,,alpine_hut,Visafone,,,Naftal,,,"old,_no_roof",,,,,RWANDA-BURUNDI COMMAND HEADQUARTER,,,,,,,hotel,,,,ford,parl,,f,,,desert,Direction du trésor perception de Soa,,CDC,Residencial Playa Real,,,,,Catholic,,,arachides,water polo,plastic,,,,,,lago,,,"jacarandá, fresno, tipa, lapacho."
,,,,property_agent,building,,,NAFTAL,,,roof=permanent,,,,,roman_catholic,,,,,,,quilombo,,,,dryfield,marina,,geoglyph,,,hill,Maison de la Radio,,Gendarmerie,isolated_dwelling,,,,,EVANGELICA,,,second_hand,ultralight_aviation,Areia,,,,,,tanque_peixe,,,Alamos
,,,,pub;restaurant,great hall,,,National Bank,,,Kitchen and dining hall,,,,,musulmane,,,,,,,fuel,,,,park,palm,,building,,,marsh,Saint Martin's,,H.E.S.S.,islnd,,,,,eubiose,,,convenience;Clinic and Art and Craft shop,moto,pasto_sintético,,,,,,Rio,,,Island_in_the middle of a lake.
,,,,fire_station,0.008,,,Nat Oil,,,palace,,,,,Centrale électrique du Cap des Biches,,,,,,,bunker,,,,salt_ponds,golf_course,,water_tower,,,watering_hole,water_utility,,UWA,Fokontany,,,,,Mormon,,,anime,Crossfit,water,,,,,,circuito_,,,mata_atlantica
,,,,Plantation,1,,,NBS Bank,,,shopping_centre,,,,,non-denominational,,,,,,,Antiga Lagoa em 1970,,,,garage,beach_resort,,groyne,,,aquaculture,labour_union,,Going S.r.L.,Aoulef,,,,,Católica,,,farmers_market,football;soccer;fistball;squash,synthetic_grass,,,,,,tanque_de_peixe,,,eucaliptos
,,,,saloon,0.005,,,Nissan,,,silo,,,,,catholic;protestant,,,,,,,church,,,,pitch,casino,,winery,,,plantation,Inspection d'arrondissement de Soa,,IFT,city,,,,,Mista,,,motorcycle,miniature_golf,asfalto,,,,,,Tidal_fresh_water_spring,,,Pinos
,,,,Place_for_studying,0.049,,,NOC,,,GNAP,,,,,Baptist Church,,,,,,,farm,,,,Vidrul,turkish_bath,,mast,,,whatever,notary,,SGS ITV,El Morro,,,,,mormón,,,wine,soccer,Cemento,,,,,,drain,,,eucalipto
,,,,waste_disposal,9192.91 m²,,,Novotel,,,engr UMAR ZUBAIRU HOUSE,,,,,quaker,,,,,,,coliseum,,,,education,fishing,,pumping_rig,,,massife,MGC,,SGBCI,reef,,,,,vale_do_amanhecer,,,books,netball,artificial_grass,,,,,,pscina,,,Hotel_y_Camping
,,,,exhibition_hall,undefined,,,Oilcom,,,barn,,,,,Musulman,,,,,,,cannon,,,,pond,picnic_table,,offshore_platform,,,nursery,it,,état ​​civil municipal,ham,,,,,sikh,,,kitchen,squash,Artificial_Turf,,,,,,wastewater,,,Cerrado
,,,,car_rental,3979,,,Oilibia,,,fixme,,,,,Sunni Hanafi,,,,,,,,,,,metal work shop,hotel,,refinery,,,scrub,political_party,,BMW,municiplaity,,,,,zoroastrian,,,bag,FOOTING,pasto,,,,,,well,,,alameda
,,,,massage,"40,58",,,oilibya,,,track,,,,,مسجد ابو بكر الصديق,,,,,,,,,,,rmy,firepit,,Cairn,,,volcano,teveta,,De Beers,Guadalupe Island,,,,,tenrikyo,,,curtain,rc_car,terra,,,,,,Lago,,,Tropical
,,,,UKHIRI PUBLIC TOILETS,17982.608270473,,,Oilibya,,,Mwanakakula Baptist Church,,,,,Diouma_Ab_Gokh,,,,,,,,,,,openground,paddling_pool,,port,,,coastline,physician,,AGIL,suburban,,,,,seicho-no-ie,,,market,xo,paving_stones:30,,,,,,marina,,,broadleaf
,,,,vending,6695.211348855,,,OiLibya,,,vineyard,,,,,islamic,,,,,,,,,,,Agriculture,Direction des jeunesseset Sport OEB,,grandstand,,,mud,Election,,Kenya Agricultural Research Institute,sea,,,,,Spiritism,,,Electronics and repairs,Kitesurfing,concreto,,,,,,Lake,,,Eucalypt
,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,"10316,46",,,Oillibya,,,bathrooms,,,,,jehovahs_witness,,,,,,,,,,,s,dancefloor,,storage,,,reef,quango,,Ayto Las Palmas de Gran Canaria,cementery,,,,,Zuluetismo.,,,water_sports,"Basketball, Netball,Volleyball",saibro,,,,,,salt_water,,,deciduous_(Cerrado_stricto_sensu)
,,,,dormitory,"84,31",,,Oilybia,,,Commercial buildings,,,,,pentecostal,,,,,,,,,,,medical,commmon,,WATER_tower,,,old_coasline_import,Direction_régionale,,Société Générale,Morrocoy,,,,,,,,grossery,hockey,pasto_y_tierra,,,,,,Humedal,,,broad_leaved
,,,,clinic,19323.777713174,,,OK Grocer,,,apartments,,,,,evangelical,,,,,,,,,,,isl,miniature_golf,,water_works,,,mountain,financial,,Ministère de la Santé,municipalidad,,,,,,,,mobile_phone,racquet_ball,Salão,,,,,,bare_rock,,,Eucalipto
,,,,lifeguard,34595.259361952,,,OMV,,,roof permanent,,,,,Muslims,,,,,,,,,,,resi],sports_centre; park,,reservoir,,,islet,yes;engineering,,Ville de Ténès,Caraballeda,,,,,,,,dive_centre,park,areia,,,,,,Piscina,,,Cafetal
,,,,bell,car,,,Opel,,,Mortuary,,,,,Le pavillonneur de l'île,,,,,,,,,,,allotments,horse_riding,,Kraal,,,stambouli wood 2,Escola de Educação Infantil Descobrindo o Mundo,,Vincci Hotels,Ruíz Pineda,,,,,,,,Beauty Salon,Terrain_de_pétanque,Cimento_alisado,,,,,,estação_de_tratamento_de_esgoto,,,
,,,,dorm,4.26764846760e-002,,,patisserie,,,Post Office,,,,,United_Brethren_in_Christ,,,,,,,,,,,recreation,common=,,water_bottling,,,swamp,car,,Gondwana Collection,villl,,,,,,,,butcher,athletics,glass,,,,,,lake+,,,
,,,,pub,"556,84",,,PEFAN,,,store,,,,,Roman,,,,,,,,,,,place_of_worship,village_green,,watermill,,,crater,cooperative,,Poste Tunisiene,Cumaná,,,,,,,,Mechanical Workshop,cricket_nets,grama_sintética,,,,,,natural,,,
,,,,gardens,"667,76",,,Pétroci,,,shack,,,,,lutheran,,,,,,,,,,,fixme,karting,,silos,,,bedrock,Design,,Hon. Keketso Sello,El Dique,,,,,,,,Saloon Kiosk and Snacks Stall,pitch,gamado,,,,,,turistico,,,
,,,,poulailler,motolavado,,,Petroci-Holding,,,detached,,,,,NIMA Y921XBerbera,,,,,,,,,,,agriculture,helicopter_landing,,desalination plant,,,grass,camping,,Mbuka C.C.A.P Church,atoll,,,,,,,,organic,polo,Polvo_de_Ladrillo,,,,,,Estação_de_tratamento_de_esgoto,,,
,,,,atm,4827.962657571,,,Petrofa,,,university_residence,,,,,Charismatic,,,,,,,,,,,mine,fitness_centre,,oven,,,sree,public,,La Cueva Caprichosa,Costa Azul,,,,,,,,motorcycle_repair,Bowls,Tierra,,,,,,"tidal,intermittent",,,
