access,admin_level,aerialway,aeroway,amenity,area,barrier,bicycle,brand,bridge,boundary,building,construction,covered,culvert,cutting,denomination,disused,embankment,foot,generator:source,harbour,highway,historic,horse,intermittent,junction,landuse,leisure,lock,man_made,military,motorcar,natural,office,oneway,operator,place,power,power_source,public_transport,railway,religion,route,service,shop,sport,surface,toll,tourism,tower:type,tracktype,tunnel,water,waterway,wetland,wood
hgv,9,station,helipad,restaurant;bar,0.038,open,yes,Afriqua,yes,local_authority,new block,house,no,,,seventh_day_adventist,no,yes,yes,coal,yes,unclassified,ruins,yes,yes,roundabout,transport,resort,,store room,air defence,yes,cladera,united_nations,-1,Fundación Diagrama,Residencial la Goleta,cable_distribution_cabinet,hydro,bus_station,construction,musulmane,road,drive-through,doityourself,power_training,"sand, pebbles",yes,resort,observation,grade5,yes,salt_lake,bay,pan,plantation
permissive,8,,airfield,car_sharing,0.063,cattle_grid,classe,Afriquia,viaduct,national_park,Pentecostal church,industry,yes,,,Old Apostolic,maybe,no,meat,diesel,,primary,memorial,permissive,*,,wetland,birding_site,,drying_area,airfield,permissive,lava_tunnel,red_cross,no,Cairo Univesity,hamlet,substation,coal,platform,engine_shed,cristã,foot,20/2/2014,auctioneers,diving,paved,,ruins,memorial,grade1,,wetland,Dam,2,Palmiers_et_acacias
toilette,2,,model_runway,courthouse,highway,city_wall,no,agil,no,civil,undefined,guesthouse,Yes,,,multi,yes,,permissive,Diesel,,secondary,"Ex-résidence Rainilaiarivony, Premier ministre",no,no,,plaza,wetland,,garden,ammunition,no,wetland,Corporate_Offices,yes,University of Health and Allied Sciences,province,transformer,photovoltaic,station,platform,non-denominational,bing,dinar,undefined,tinh_vo_dao,mud,,soccer,clock,grade2,,Waterfall,waterfall,salt pan,olivier
restricted,6,,apron,culture_center,0.03,wire_fence,designated,Agil,suspension,protected_area,Medical Laboratory,Road_works,,,,Mosqué El Nadjah,hospital,,no,diesel;gass,,track,battlefield,private,,,Cemetery,Cantonement Area,,water,barracks,agricultural,glacier,administrative,roof,CAAR Assurances,archipelago,gas,gas,stop_area,roundhouse,buddhist,bus,dealer,pet,Soccer,gazon_Naturel,,picnic_area,minaret,grade3,,wetl,ditch?,mangrove,mixed
key,4,,navigationaid,office,0.05,shipwreck,destination,Banque National d'Investissement (BNI),,conflict,Agence Transport Aérien,apartments,,,,Legio (African Traditional),,,designated,fossil,,footway,ship,designated,,,churchyard,Dance,,something,bunker,destination,old_coastline_import,commercial,,Pari-Foot,Residencial Maretas,generator,fossil,stop_position,station,animist,,driveway,florist,team_handball,rocky,,wilderness_hut,survey_point,grade4,,lagoon,lagoon,saltern,broad-leaved
"bing, survey",5,,airstrip,ministry,y,Résidence du wali (إقامة الوالي),dismount,BFV-Société Générale,,kasese boundary for HOT tasker,94,industrial,,,,Tanzania_Assemblies_of_God,,,unknown,gas,,mini_roundabout,wayside_cross,,,,fresid,pool,,water_canal,checkpoint,,mountains,Magetsi House,,Civil Government,islet,plant,oil,taxi,traverser,Musulmane,,dealer;repair;parts,car_repair,multi,salt,,motel,Toure_residentielle_et_commercialle,trocha,,reservoir,weir,mare,eucalypt
destination,10,,hangar,latrine,pedestrian,entrance,permissive,BMW,,task,hotel;yes,pedestrian,,,,Jesus Christ of Latter-day Saints,,,,gasoline,,bus_stop,city_gate,,,,bath,garden,,water_well,danger_area,,ridge,religion,,BNA,vilage,minor_line,biofuel,yes,turntable,bahai,,parking_aisle,window_blind,basketball; soccer,pebbles,,theme_park,supervision,,,pool,reservoir,saltmarsh,Palmeraie
bing,3,,runway,field,0.002,dry_bush,private,Boccom Station Service,,administrative,administrative,*,,,,episcopal,,,,gasoline;gas,,tertiary,archaeological_site,,,,green_village,Helicopter_landing,,reservoir_uncovered,fort,,archipelago,Eygo Limited,,Petromin,village,switchgear,,plataform,yes,CHRISTIAN,,yard,convenience,athletics;soccer,cobblestone,,information,beacon,,,waste,farra,swamp,palmtrees
designated,7,,building,spa,0.006,gate,,BP,,natural,cooapsed,commercial,,,,Presibyterian,,,,geothermal,,trunk,laundry,,,,water_well,bath,,wall,hangar,,wadi,foundation,,Centro Comercial Las Terrazas,Natural Retreats,station,,,subway_entrance,Church Jehova,,Bing,car,field_hockey,earth,,hostel,communication,,,islet,swimming_pool,wet_meadow,Neem
psv,municipop,,terminal,Porcherie,0.001,retaining_wall,,Caltex,,under construction,guard_house,common,,,,christian,,,,hydro,,raceway,1935,,,,office,nature_reserve,,storage_tank,naval_base,,riverbank,ONG AMEDD,,Euro Japan Factory,town,pole,,,depot,Saint-Louis,,alley,furniture,Korfball,grass,,tourism-attraction,cooling,,,salt,water,seasonal_pan,reserve
Pupils' Toilets,11,,tower,calligrapher,0.011,hedge,,CAP,,town,office,subway,,,,Lutheran,,,,hydro_and_gasoline,,tertiary_link,heritage,,,,farmy,slipway,,radar,range,,clif,publisher,,National Development Bank,field,tower,,,crossing_box,canarii,,aircraft control,funeral_directors,Soccer_/_Football,gravel,,guest_house,water,,,swamp,wadi,tidalflat,Pin_d'Alep
customer,0,,gate,community_center,0.009,yes,,CEPSA,,Kalima boundary for HOT tasker,teachers quaters,residential_R+4,,,,tidiannes,,,,nuclear,,steps,monastery,,,,field,COmmon,,antenna,shooting_range,,arete,sports,,Enseignement Primaire Catholique Direction Diocesaine GAGNOA,terrain de sport,line,,,rail,Muslim_and_Christian,,aircraft_control,electronics,archery,Astro,,chalet,bell_tower,,,source,riverbank,Wet_meadow,evergreen
