access,admin_level,aerialway,aeroway,amenity,area,barrier,bicycle,brand,bridge,boundary,building,construction,covered,culvert,cutting,denomination,disused,embankment,foot,generator:source,harbour,highway,historic,horse,intermittent,junction,landuse,leisure,lock,man_made,military,motorcar,natural,office,oneway,operator,place,power,power_source,public_transport,railway,religion,route,service,shop,sport,surface,toll,tourism,tower:type,tracktype,tunnel,water,waterway,wetland,wood
customers,,,construction,university,,wood,desmontado,,swing,postal_code,industrial,no,,,,,,,unknown,,,secondary,,,,,harbour,,,groyne,,,arete,,,Tanzania Electrical Supply Corporation;TANESCO,neighbourhood,,,,historic,,pipeline,unpaved,,toboggan,asphalt;compacted,,,,track,,,intermittent,,
public,,,,doctors,,yes,use_sidepath,,boardwalk,"EO-1, NASA/USGS, 2003-02-20, Zillah",casas,road,,,,,,,Sim,,,primary,,,,,fixme,,,submarine_cable,,,cliff,,,Parque Nacional del Teide,Kagera,,,,dismantled,,canoe,Bing,,skating,asphalt;sand;compacted,,,,grade1,,,derelict_canal,,
Rucahabi,,,,food_court,,fence,Sim,,,maritim,no,yes,,,,,,,yes;no,,,unclassified;track,,,,,agriculture,,,spillway,,,strait,,,PRASA,county,,,,miniature,,train,drive-through,,,Rough Dirt,,,,grade4,,,yes,,
no,,,,taxi,,toll_booth,si,,,EO-1 2004-09-05,,disused,,,,,,,si,,,track,,,,,vineyard,,,cattle_chute,,,old_coasttline_import,,,Grimaldi Lines,island,,,,yes,,road,agriculture,,,dust,,,,grade1_ruts,,,construction,,
Yes,,,,weighbridge,,lift_gate,no;yes,,,residential,,minor,,,,,,,,,,mini_roundabout,,,,,farm,,,cutline,,,caldera,,,Transportes Insular La Palma,municiplaity,,,,razed,,residental,Cantoment,,,unapaved,,,,Access Road to Area Managers residence Tashinga,,,waterfall,,
delivery,,,,fuel,,bollard,,,,"EO-1, NASA/USGS, 2004-01-17, Tai",,primary,,,,,,,,,,residentiel,,,,,recreation_ground,,,advertising,,,crete,,,"Ministerio de Agricultura, Alimentación y Medio Ambiente",RumiWilco,,,,,,mtb,side,,,grass_paver,,,,golf_cart,,,dicth,,
yes,,,,bicycle_parking,,house,,,,Yahoo! Aerial Imagery,,secondary,,,,,,,,,,tertiary,,,,,conservation,,,yes,,,tree_lined,,,EdM,municipalidad,,,,,,yes,driveway,,,Tar,,,,grade4;grade1,,,weir,,
permit,,,,advertising,,pipe,,,,maritime,,track,,,,,,,,,,trunk,,,,,industrial,,,jetty,,,rock,,,CFU,,,,,,,tram,siding,,,interlock,,,,grade1;grade2,,,culvert,,
fixme,,,,Avenida Senhora do Porto,,cattle_grid,,,,hires,,ligh_rail,,,,,,,,,,tertiary_link,,,,,railway,,,bunker_silo,,,wood,,,COSAMA,,,,,,,offroad,forrestry,,,unpaved;dirt,,,,grade3s,,,proposed,,
permissive,,,,prison,,city_wall,,,,"EO-1, NASA/USGS, 2003-05-27, Ras Lanuf",,footway,,,,,,,,,,secondary_link,,,,,2,,,levee,,,yes,,,Ayuntamiento de Teguise,,,,,,,trolleybus,bing,,,paved; paved; unpaved; unpaved,,,,VS-85,,,lock_gate,,
restricted,,,,,,wire_fence,,,,Bing,,runway,,,,,,,,,,living_street;residential,,,,,farmyard,,,pier,,,tree_row,,,Ayuntamiento de Tegueste,,,,,,,pontoon,parking_aisle,,,terre,,,,Via Cienega,,,dock,,
destination,,,,,,disused:fence,,,,EO-1 2003-04-30,,steps,,,,,,,,,,emergency_access_point,,,,,quarry,,,wastewater_plant,,,stone,,,KR/EAR,,,,,,,light_rail,alley,,,Asphalt,,,,5,,,dam#,,
<same>,,,,,,bollard_row,,,,yes,,pedestrian,,,,,,,,,,primary_link,,,,,construction,,,conveyor,,,fixme,,,SNCC,,,,,,,40,mining,,,asphalt:sand,,,,VS-81,,,tube,,
foot,,,,,,gate,,,,catchment_area,,secondary_link,,,,,,,,,,route,,,,,aquaculture,,,harbour_wall,,,bare_rock,,,M.M. Mining and Togo Rail S.A. (WACEM and RITES),,,,,,,aerialway,agricultural,,,ground;grass,,,,grade3+,,,river;stream,,
FIXME,,,,,,kerb,,,,EO-1 2002-04-18,,platform,,,,,,,,,,sidewalk,,,,,meadow,,,arch,,,waterfall,,,Cabildo Insular de La Palma,,,,,,,ski,drivethroug,,,JOG,,,,trocha,,,margen izquierda Mantaro,,
BR-267,,,,,,ditch,,,,"EO-1, NASA/USGS, 2002-09-15, Al Khadim",,taxiway,,,,,,,,,,crossing,,,,,,,,Pedestrian_Bridge,,,sinkhole,,,Sasol,,,,,,,tour,Forestry,,,paved,,,,,,,dittch,,
bus,,,,,,dune,,,,national_park,,cycleway,,,,,,,,,,platform,,,,,,,,transporter,,,cilff,,,Algoa Bus,,,,,,,Bus,emergency_access,,,mud,,,,,,,,,
designated;yes,,,,,,retaining_wall,,,,EO-1 2003-10-21,,living_street,,,,,,,,,,services,,,,,,,,boom,,,valley,,,University of Cape Town,,,,,,,funicular,triangle,,,ground;compacted,,,,,,,,,
Sim,,,,,,net,,,,"EO-1, NASA/USGS, 2004-05-24, Timimi",,resicential,,,,,,,,,,dirtroad,,,,,,,,,,,rocks,,,Shosholoza Meyl,,,,,,,track,road,,,solid_rock_covered_with_ashes,,,,,,,,,
restrictive,,,,,,UIS,,,,hypothetical,,residental,,,,,,,,,,estrada da bibala,,,,,,,,,,,dunes,,,ZR,,,,,,,,vers ECA,,,cobblestone,,,,,,,,,
Jardim Zoológico,,,,,,turnstile,,,,task,,tram,,,,,,,,,,escape,,,,,,,,,,,coral_reef,,,TRANSTU,,,,,,,,-,,,grass,,,,,,,,,
bing,,,,,,sump_buster,,,,imagery,,tertiary_link,,,,,,,,,,elevator,,,,,,,,,,,beach,,,Pioneer Easybus Service,,,,,,,,bus,,,ubpaved,,,,,,,,,
service,,,,,,debris,,,,natural,,,,,,,,,,,,service,,,,,,,,,,,heath,,,SNCFT,,,,,,,,Gasolineria,,,asphalt;unpaved,,,,,,,,,
publico,,,,,,pipeline,,,,EO-1 2003-01-01,,,,,,,,,,,,alley,,,,,,,,,,,sand,,,ALSA,,,,,,,,bus_way,,,Dirt,,,,,,,,,
si,,,,,,float,,,,"EO-1 USGS 2002-04-21 ""Gharyan""",,,,,,,,,,,,secondary;primary,,,,,,,,,,,grassland,,,INCC,,,,,,,,Fenoco,,,paving_stones:30,,,,,,,,,
Transmilenio,,,,,,border_control,,,,political,,,,,,,,,,,,path,,,,,,,,,,,river,,,SRA,,,,,,,,camp_site,,,fine_gravel,,,,,,,,,
restrict,,,,,,jersey_barrier,,,,political_fraction,,,,,,,,,,,,turning_circle,,,,,,,,,,,desert,,,Eskom,,,,,,,,driveway;parking-aisle,,,grade3,,,,,,,,,
sim,,,,,,,,,,"EO-1 USGS 2003-03-01 ""Brega""",,,,,,,,,,,,road,,,,,,,,,,,glacier,,,Aftu,,,,,,,,Pasaje_peatonal_privado,,,gravel;paved;asphalt,,,,,,,,,
,,,,,,,,,,CBERS satellite image 18-10-2008,,,,,,,,,,,,passing_place,,,,,,,,,,,islet,,,Entreprise Nationale de Transport Maritime de Voyageurs,,,,,,,,yes,,,unpaved_dirt,,,,,,,,,
,,,,,,,,,,protecte_area,,,,,,,,,,,,compacted,,,,,,,,,,,wood; wood; scrub; wood; wood; wood; wood; scrub; wood; wood; wood; scrub; wood; wood; wood; wood; wood; scrub; wood; wood; scrub,,,SONATRACH,,,,,,,,TIRIO,,,clay,,,,,,,,,
,,,,,,,,,,hamlet,,,,,,,,,,,,rest_area,,,,,,,,,,,fell,,,ONATRA,,,,,,,,as,,,stand,,,,,,,,,
,,,,,,,,,,industrial,,,,,,,,,,,,undetermined,,,,,,,,,,,rapids,,,City Sightseeing,,,,,,,,service=transportation,,,concrete,,,,,,,,,
,,,,,,,,,,census,,,,,,,,,,,,unclassified,,,,,,,,,,,tree_tow,,,Horários do Funchal,,,,,,,,water_power,,,Gravel,,,,,,,,,
,,,,,,,,,,bing,,,,,,,,,,,,unsurfaced,,,,,,,,,,,SCRUB,,,EAR,,,,,,,,hydrocarbons,,,ground;laterite,,,,,,,,,
,,,,,,,,,,CBERS satellite image 21-10-2008,,,,,,,,,,,,footway,,,,,,,,,,,Emilio Castelar,,,http://www.santiagodelteide.org/,,,,,,,,long_distance,,,tar,,,,,,,,,
,,,,,,,,,,IBGE PDF Maps,,,,,,,,,,,,tracks,,,,,,,,,,,Rua Ibiracu,,,thiade,,,,,,,,tyres,,,dirt/sand,,,,,,,,,
,,,,,,,,,,fix_administrative,,,,,,,,,,,,footway;path,,,,,,,,,,,tree,,,Mozal,,,,,,,,HafenDelta,,,paved; paved; unpaved,,,,,,,,,
,,,,,,,,,,rio,,,,,,,,,,,,proposed,,,,,,,,,,,old_coastline,,,tiadhe,,,,,,,,un,,,unspecified,,,,,,,,,
,,,,,,,,,,landuse,,,,,,,,,,,,bus_stop,,,,,,,,,,,plateau,,,Kenya Pipeline Corporation Ltd.,,,,,,,,private,,,tarr,,,,,,,,,
,,,,,,,,,,Bing Aerial Imagery,,,,,,,,,,,,trail,,,,,,,,,,,tree_rowp,,,Transtu,,,,,,,,parking_aisle;driveway,,,dirt,,,,,,,,,
,,,,,,,,,,religious_administration,,,,,,,,,,,,tertiary;residential,,,,,,,,,,,crevasse,,,TANESCO,,,,,,,,Taxi,,,sea shells,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,pedestrian,,,,,,,,,,,,,,AINGAVAO,,,,,,,,yard?,,,sand,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,track;unclassified,,,,,,,,,,,,,,Commune;private,,,,,,,,abandoned_tram,,,pozzolan,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,path;unclassified,,,,,,,,,,,,,,CAMRAIL,,,,,,,,tourism,,,murram,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,unknown,,,,,,,,,,,,,,ICCN,,,,,,,,Rua Imbuí,,,unpaved;asphalt,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,motorway_junction,,,,,,,,,,,,,,Morning Sun Nature Reserve,,,,,,,,driveway;alley,,,béton,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,ford,,,,,,,,,,,,,,Forminière,,,,,,,,regional,,,soil,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,trunk_link,,,,,,,,,,,,,,Mugana DDH,,,,,,,,Callejon Juzgados Penales de Concepción,,,dirt/sand;dirt,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,cycleway,,,,,,,,,,,,,,Grid Co,,,,,,,,construcción,,,asphalt;concrete,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,via_ferrata,,,,,,,,,,,,,,Togo Rail S.A. (WACEM and RITES),,,,,,,,commuter,,,MedenineTech,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,disused,,,,,,,,,,,,,,ETUS,,,,,,,,Calle Andamarca,,,drirt,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,undefined,,,,,,,,,,,,,,Rodoeste,,,,,,,,dirveway,,,Tarmac,,,,,,,,,
