access,admin_level,aerialway,aeroway,amenity,area,barrier,bicycle,brand,bridge,boundary,building,construction,covered,culvert,cutting,denomination,disused,embankment,foot,generator:source,harbour,highway,historic,horse,intermittent,junction,landuse,leisure,lock,man_made,military,motorcar,natural,office,oneway,operator,place,power,power_source,public_transport,railway,religion,route,service,shop,sport,surface,toll,tourism,tower:type,tracktype,tunnel,water,waterway,wetland,wood
permissive,8,station,helipad,car_sharing,0.002,city_wall,yes,Afriquia,yes,national_park,administrative,yes,no,,,presbyterian,yes,yes,yes,coal,yes,unclassified,ruins,yes,yes,roundabout,wetland,resort,,drying_area,air defence,,wetland,administrative,no,Ghana Education Service,hamlet,cable_distribution_cabinet,hydro,platform,platform,hindu,,20/2/2014,doityourself,team_handball,paved,,motel,observation,grade3,yes,lagoon,weir,mangrove,mixed
restricted,9,,apron,courthouse,0.001,retaining_wall,no,Agil,,protected_area,office,retail,yes,,,methodist,,,designated,diesel,,footway,memorial,no,,,churchyard,garden,,water_well,airfield,,old_coastline_import,telecommunication,yes,Alpine Heath Resort,archipelago,substation,oil,station,station,muslim,,driveway,florist,multi,mud,,theme_park,communication,,,reservoir,reservoir,saltern,deciduous
destination,2,,hangar,childcare,0.003,hedge,dismount,Caltex,,administrative,roof = permanent ,residential,,,,anglican,,,permissive,gas,,track,archaeological_site,,,,field,nature_reserve,,storage_tank,barracks,,glacier,insurance,,Total Côte d'Ivoire,islet,transformer,,,roundhouse,christian,,parking_aisle,car_repair,archery,rocky,,information,cooling,,,islet,wadi,saltmarsh,palm
bing,6,,runway,yes,yes,yes,,Engen,,political,storage_tank,commercial,,,,catholic,,,,hydro,,tertiary,castle,,,,yes,slipway,,tank,bunker,,ridge,yes,,Vivo Energy Côte d'Ivoire,village,generator,,,yes,jewish,,bing,convenience,lucha_canaria,pebbles,,hostel,bell_tower,,,riverbank,riverbank,swamp,tree_rows
designated,4,,building,nightclub,0.004,wall,,Oilibya,,postal,stadium,building,,,,baptist,,,,oil,,steps,wreck,,,,meadow,playground,,embankment,hangar,,riverbank,lawyer,,Universidad de La Laguna,town,plant,,,,buddhist,,dealer,car,climbing,cobblestone,,chalet,defensive,,,pond,stream,wet_meadow,coniferous
private,5,,terminal,university,,fence,,Shell,,local_authority,university,,,,,orthodox,,,,solar,,pedestrian,no,,,,recreation_ground,yes,,lighthouse,range,,fell,educational_institution,,University of Cape Town,locality,station,,,,spiritualist,,yard,furniture,rugby_union,earth,,guest_house,,,,river,dock,tidalflat,yes
official,10,,taxiway,hospital,,toll_booth,,Staroil,,civil,roof = permanent,,,,,roman_catholic,,,,,,bridleway,building,,,,hospital,bird_hide,,fuel_storage_tank,trench,,rock,therapist,,Afriquia,neighbourhood,tower,,,,,,,electronics,rugby,grass,,caravan_site,,,,intermittent,drain,marsh,mangrove
customers,3,,bunker,swimming_pool,,embankment,,Texaco,,,toilets,,,,,jehovahs_witness,,,,,,rest_area,meteor_crater,,,,railway,stadium,,reservoir_covered,naval_base,,wood,research,,Engen,county,yes,,,,,,,carparts,football,gravel,,attraction,,,,lake,canal,bog,mata atlântica
public,7,,aerodrome,public_building,,kerb,,Total,,,Pavilion,,,,,pentecostal,,,,,,services,threshing_floor,,,,brownfield,recreation_ground,,yes,danger_area,,yes,government,,SIC,island,sub_station,,,,,,,stationery,beachvolleyball,asphalt,,viewpoint,,,,lake;pond,dam,reedbed,seringueira
no,11,,,biergarten,,enclosure,,Toyota,,,gazebo,,,,,evangelical,,,,,,platform,yes,,,,quarry,swimming_pool,,jetty,,,tree_row,ngo,,Accadimie,suburb,,,,,,,,yes,running,pebblestone,,apartment,,,,Pan,river,,eucalypt
yes,,,,post_office,,gate,,PDV,,,static_caravan,,,,,lutheran,,,,,,service,wayside_shrine,,,,port,water_park,,pier,,,stone,company,,BP,yes,,,,,,,,car key and air conditioner service shops,volleyball,unpaved,,zoo,,,,oxbow,ditch,,evergreen
AR,,,,doctors,,ditch,,Honda,,,Residential,,,,,ethiopian_orthodox_tewahedo,,,,,,living_street,pillory,,,,plantation,Shooting Range,,wastewater_plant,,,bay,estate_agent,,Lesotho Evangelical Church,city_block,,,,,,,,chemist,bowls,compacted,,camp_site,,,,reflecting_pool,boatyard,,
,,,,food_court,,,,Fiat,,,House,,,,,sunni,,,,,,path,monument,,,,nursery,common,,mineshaft,,,rocks,it,,Galana,farm,,,,,,,,hardware,soccer,ground,,picnic_site,,,,salt,yes,,
,,,,taxi,,,,Ipiranga,,,roof=permanent,,,,,dutch_reformed,,,,,,residential,tomb,,,,reservoir,sports_centre,,telescope,,,tree,financial,,German University in Cairo,region,,,,,,,,garden_centre,squash,clay,,artwork,,,,canal,dredged_area,,
,,,,toilets,,,,Volkswagen,,,silo,,,,,protestant,,,,,,road,architecture,,,,village_green,Common,,tower,,,marsch,association,,Technische Universität Berlin,state,,,,,,,,hairdresser,netball,concrete,,hotel,,,,wastewater,oxbow,,
,,,,shelter,,,,BR,,,barn,,,,,seventh_day_adventist,,,,,,bus_stop,heritage,,,,r,marina,,water_tank,,,grassland,physician,,Owner,quarter,,,,,,,,variety_store,hockey,paving_stones,,alpine_hut,,,,,lake,,
,,,,fire_station,,,,Chevrolet,,,track,,,,,maronite,,,,,,raceway,,,,,clearing,golf_course,,chimney,,,desert,accountant,,APC,isolated_dwelling,,,,,,,,clothes,athletics,dirt/sand,,yes,,,,,waterfall,,
,,,,car_rental,,,,Petrobras,,,apartments,,,,,neo-pentecostal,,,,,,primary,,,,,grass,beach_resort,,adit,,,marsh,newspaper,,La Poste,city,,,,,,,,kiosk,cricket_nets,dirt,,museum,,,,,,,
,,,,clinic,,,,Esso,,,detached,,,,,vale_do_amanhecer,,,,,,,,,,,pond,fishing,,water_tower,,,aquaculture,,,South African National Parks,municipality,,,,,,,,motorcycle,equestrian,sand,,sign,,,,,,,
,,,,pub,,,,ANCAP,,,offices,,,,,foursquare,,,,,,,,,,,education,miniature_golf,,groyne,,,coastline,,,STEG,municipalidad,,,,,,,,books,tennis,sett,,,,,,,,,
,,,,car_wash,,,,Ale,,,bank,,,,,mormon,,,,,,,,,,,allotments,park,,mast,,,scrub,,,Western Cape Education Department,,,,,,,,,kitchen,baseball,fine_gravel,,,,,,,,,
,,,,place_of_worship,,,,ESSO,,,multipurpose,,,,,,,,,,,,,,,,fixme,pitch,,storage,,,reef,,,Botswana Power,,,,,,,,,grossery,horse_racing,wood,,,,,,,,,
,,,,fuel,,,,Independent,,,building,,,,,,,,,,,,,,,,agriculture,track,,water_works,,,volcano,,,Government of Lesotho,,,,,,,,,mobile_phone,skateboard,grama_sintética,,,,,,,,,
,,,,animal_shelter,,,,YPF,,,accommodation,,,,,,,,,,,,,,,,vineyard,club,,reservoir,,,mud,,,Université Larbi Ben M'Hid,,,,,,,,,butcher,korfball,artificial_turf,,,,,,,,,
,,,,dentist,,,,Terpel,,,CON,,,,,,,,,,,,,,,,conservation,fitness_station,,watermill,,,old_coasline_import,,,Public,,,,,,,,,travel_agency,basketball,concrete:lanes,,,,,,,,,
,,,,bank,,,,Ford,,,flats,,,,,,,,,,,,,,,,salt_pond,dog_park,,silos,,,crater,,,Total,,,,,,,,,shopping_centre,handball,decoturf,,,,,,,,,
,,,,ferry_terminal,,,,,,,non_residential,,,,,,,,,,,,,,,,wasteland,horse_riding,,oven,,,grass,,,Naftal,,,,,,,,,gift,Football,grass_paver,,,,,,,,,
,,,,animal_keeping,,,,,,,commercial;residential,,,,,,,,,,,,,,,,industrial,social_club,,breakwater,,,cliff,,,Gobierno de Canarias,,,,,,,,,farm,cricket,tartan,,,,,,,,,
,,,,pharmacy,,,,,,,Hut,,,,,,,,,,,,,,,,landfill,,,gasometer,,,spring,,,SONEDE,,,,,,,,,computer,rugby_league,,,,,,,,,,
,,,,recycling,,,,,,,commercial,,,,,,,,,,,,,,,,taxiway,,,works,,,scree,,,Transfrontier Parks Destinations,,,,,,,,,supermarket,gymnastics,,,,,,,,,,
,,,,embassy,,,,,,,damaged,,,,,,,,,,,,,,,,animal_keeping,,,silo,,,caldera,,,Shell,,,,,,,,,tyres,shooting,,,,,,,,,,
,,,,casino,,,,,,,terrasse,,,,,,,,,,,,,,,,army,,,windmill,,,old_coasttline_import,,,SONELGAZ,,,,,,,,,general,scuba_diving,,,,,,,,,,
,,,,shop,,,,,,,transformer_tower,,,,,,,,,,,,,,,,greenfield,,,oil_tank,,,oasis,,,Private,,,,,,,,,craft,racquet,,,,,,,,,,
,,,,nursing_home,,,,,,,cle,,,,,,,,,,,,,,,,farmyard,,,antenna,,,bare_rock,,,DJS,,,,,,,,,greengrocer,golf,,,,,,,,,,
,,,,police,,,,,,,residential,,,,,,,,,,,,,,,,forest,,,bridge,,,cliffs,,,Correos,,,,,,,,,bakery,swimming,,,,,,,,,,
,,,,shower,,,,,,,home,,,,,,,,,,,,,,,,building,,,geoglyph,,,land,,,City of Cape Town,,,,,,,,,boutique,boules,,,,,,,,,,
,,,,garden,,,,,,,Bing,,,,,,,,,,,,,,,,plant_nursery,,,pumping_rig,,,peak,,,Roman Catholic Church,,,,,,,,,dry_cleaning,motor,,,,,,,,,,
,,,,townhall,,,,,,,construction,,,,,,,,,,,,,,,,fishfarm,,,,,,waterland,,,Government,,,,,,,,,tailor,karting,,,,,,,,,,
,,,,parking_space,,,,,,,museum,,,,,,,,,,,,,,,,military,,,,,,beach,,,Jovenna,,,,,,,,,copyshop,polo,,,,,,,,,,
,,,,driving_school,,,,,,,warehouse,,,,,,,,,,,,,,,,garden,,,,,,heath,,,Algérie Poste,,,,,,,,,beauty,paddle_tennis,,,,,,,,,,
,,,,cinema,,,,,,,church,,,,,,,,,,,,,,,,commercial,,,,,,sand,,,CapeNature,,,,,,,,,department_store,futsal,,,,,,,,,,
,,,,grave_yard,,,,,,,mokhoro,,,,,,,,,,,,,,,,farmland,,,,,,forest,,,Sonangol,,,,,,,,,mall,bullfighting,,,,,,,,,,
,,,,studio,,,,,,,tower,,,,,,,,,,,,,,,,residential,,,,,,water,,,La Poste Tunisienne,,,,,,,,,alcohol,exercise,,,,,,,,,,
,,,,bar,,,,,,,stable,,,,,,,,,,,,,,,,greenhouse_horticulture,,,,,,cave_entrance,,,Eskom,,,,,,,,,laundry,cycling,,,,,,,,,,
,,,,church,,,,,,,no,,,,,,,,,,,,,,,,wood,,,,,,island,,,Caltex,,,,,,,,,sports,basketball;soccer,,,,,,,,,,
,,,,bureau_de_change,,,,,,,Yes,,,,,,,,,,,,,,,,construction,,,,,,meadow,,,Hilton Worldwide,,,,,,,,,trade,padel,,,,,,,,,,
,,,,prison,,,,,,,bunker,,,,,,,,,,,,,,,,greenhouse,,,,,,epicentre,,,Cabildo Insular de Tenerife,,,,,,,,,shoes,pelota,,,,,,,,,,
,,,,arts_centre,,,,,,,grandstand,,,,,,,,,,,,,,,,surface_mining,,,,,,park,,,حكومى,,,,,,,,,seafood,motocross,,,,,,,,,,
,,,,fountain,,,,,,,terrace,,,,,,,,,,,,,,,,common,,,,,,old_coastline,,,Algérie poste,,,,,,,,,car_parts,table_tennis,,,,,,,,,,
,,,,library,,,,,,,school,,,,,,,,,,,,,,,,cemetery,,,,,,,,,Oilibya,,,,,,,,,beverages,skating,,,,,,,,,,
,,,,school,,,,,,,unknown,,,,,,,,,,,,,,,,garages,,,,,,,,,private,,,,,,,,,pet,paddle,,,,,,,,,,
,,,,kindergarten,,,,,,,barrack,,,,,,,,,,,,,,,,scrub,,,,,,,,,TITSA,,,,,,,,,music,soccer;basketball,,,,,,,,,,
,,,,parking,,,,,,,public,,,,,,,,,,,,,,,,islet,,,,,,,,,جامعة الخرطوم,,,,,,,,,funeral_directors,,,,,,,,,,,
,,,,social_facility,,,,,,,restaurant,,,,,,,,,,,,,,,,religious,,,,,,,,,AES_SONEL,,,,,,,,,pawnbroker,,,,,,,,,,,
,,,,restaurant,,,,,,,buliding,,,,,,,,,,,,,,,,livestock,,,,,,,,,Branca,,,,,,,,,cosmetics,,,,,,,,,,,
,,,,dive_centre,,,,,,,Viviendas,,,,,,,,,,,,,,,,school,,,,,,,,,cdec-sing,,,,,,,,,deli,,,,,,,,,,,
,,,,cafe,,,,,,,retail,,,,,,,,,,,,,,,,orchard,,,,,,,,,Público,,,,,,,,,swimming_pool,,,,,,,,,,,
,,,,marketplace,,,,,,,farm,,,,,,,,,,,,,,,,public,,,,,,,,,Secretaria Estadual do Meio Ambiente do Rio Grande do Sul,,,,,,,,,estate_agent,,,,,,,,,,,
,,,,veterinary,,,,,,,bing,,,,,,,,,,,,,,,,retail,,,,,,,,,PMBG,,,,,,,,,gas,,,,,,,,,,,
,,,,fast_food,,,,,,,none,,,,,,,,,,,,,,,,harbour,,,,,,,,,Bradesco,,,,,,,,,paint,,,,,,,,,,,
,,,,bus_station,,,,,,,hall,,,,,,,,,,,,,,,,farm,,,,,,,,,Petrobras,,,,,,,,,bed,,,,,,,,,,,
,,,,community_centre,,,,,,,monastery,,,,,,,,,,,,,,,,basin,,,,,,,,,Cemig,,,,,,,,,confectionery,,,,,,,,,,,
,,,,monastery,,,,,,,Edificio,,,,,,,,,,,,,,,,farmy,,,,,,,,,3,,,,,,,,,art,,,,,,,,,,,
,,,,college,,,,,,,abandoned,,,,,,,,,,,,,,,,arml,,,,,,,,,2,,,,,,,,,fashion,,,,,,,,,,,
,,,,theatre,,,,,,,weapon_armory,,,,,,,,,,,,,,,,aquaculture,,,,,,,,,Cencosud,,,,,,,,,dairy,,,,,,,,,,,
,,,,ranger_station,,,,,,,railway_station,,,,,,,,,,,,,,,,park,,,,,,,,,ALE,,,,,,,,,lottery,,,,,,,,,,,
,,,,ice_cream,,,,,,,USAID Residence,,,,,,,,,,,,,,,,rmy,,,,,,,,,Maitei Posadas Hotel & Resort,,,,,,,,,bicycle,,,,,,,,,,,
,,,,stadium,,,,,,,cathedral,,,,,,,,,,,,,,,,wellsite,,,,,,,,,Banco do Brasil,,,,,,,,,vacant,,,,,,,,,,,
,,,,register_office,,,,,,,hangar,,,,,,,,,,,,,,,,famy,,,,,,,,,Instituto Butantan,,,,,,,,,newsagent,,,,,,,,,,,
,,,,gambling,,,,,,,roof,,,,,,,,,,,,,,,,civic,,,,,,,,,Secretaría de Educación Municipal Armenia,,,,,,,,,toys,,,,,,,,,,,
,,,,love_hotel,,,,,,,residental,,,,,,,,,,,,,,,,mining,,,,,,,,,Carabineros de Chile,,,,,,,,,jewelry,,,,,,,,,,,
,,,,building,,,,,,,hotel,,,,,,,,,,,,,,,,observatory,,,,,,,,,Instituto Chico Mendes de Conservação da Biodiversidade,,,,,,,,,houseware,,,,,,,,,,,
,,,,dojo,,,,,,,shelter,,,,,,,,,,,,,,,,pasture,,,,,,,,,Centro de Desenvolvimento de Tecnologia Nuclear,,,,,,,,,fishmonger,,,,,,,,,,,
,,,,bicycle_parking,,,,,,,*,,,,,,,,,,,,,,,,,,,,,,,,,Extra,,,,,,,,,hifi,,,,,,,,,,,
,,,,gym,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,BR,,,,,,,,,optician,,,,,,,,,,,
,,,,motorcycle_parking,,,,,,,garage,,,,,,,,,,,,,,,,,,,,,,,,,Tonga Power,,,,,,,,,fabric,,,,,,,,,,,
,,,,social_centre,,,,,,,tent,,,,,,,,,,,,,,,,,,,,,,,,,UTE,,,,,,,,,no,,,,,,,,,,,
,,,,vivarium,,,,,,,greeenhouse,,,,,,,,,,,,,,,,,,,,,,,,,EDF,,,,,,,,,interior_decoration,,,,,,,,,,,
,,,,bbq,,,,,,,factory,,,,,,,,,,,,,,,,,,,,,,,,,Governo do Estado de São Paulo,,,,,,,,,video,,,,,,,,,,,
,,,,club,,,,,,,retirement_home,,,,,,,,,,,,,,,,,,,,,,,,,TDF,,,,,,,,,,,,,,,,,,,,
,,,,açude,,,,,,,industrial,,,,,,,,,,,,,,,,,,,,,,,,,Ministerio de Turismo,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,manufacture,,,,,,,,,,,,,,,,,,,,,,,,,Volkswagen,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,shop,,,,,,,,,,,,,,,,,,,,,,,,,Ecuatoriana de Sal y Productos Químicos C.A.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,Universidad Tecnologica de Pereira,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,mall,,,,,,,,,,,,,,,,,,,,,,,,,Universidade Federal da Fronteira Sul,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,Plaza Mayor Ypiranga,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,houses,,,,,,,,,,,,,,,,,,,,,,,,,DMAE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,yess,,,,,,,,,,,,,,,,,,,,,,,,,Terpel,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,ruin,,,,,,,,,,,,,,,,,,,,,,,,,Parque Nacional del Arroz - Hacienda La Guaira,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,wall,,,,,,,,,,,,,,,,,,,,,,,,,Parque da Cidade,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,greenhouse_horticulture,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,hut,,,,,,,,,,,,,,,,,,,,,,,,,Viapar,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,Privado,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,greenhouse,,,,,,,,,,,,,,,,,,,,,,,,,Prefeitura Municipal de Campo Grande,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,farm_auxiliary,,,,,,,,,,,,,,,,,,,,,,,,,DAP-RS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,roop permanent,,,,,,,,,,,,,,,,,,,,,,,,,Prefeitura do Município de Maringá,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,garages,,,,,,,,,,,,,,,,,,,,,,,,,Petrobrás,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,kindergarten,,,,,,,,,,,,,,,,,,,,,,,,,Universidad de Buenos Aires,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,Celesc,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,kitchen,,,,,,,,,,,,,,,,,,,,,,,,,Esso,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,train_station,,,,,,,,,,,,,,,,,,,,,,,,,Secretaria Municipal de Educação,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,residential area,,,,,,,,,,,,,,,,,,,,,,,,,BRT Transoeste,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,Itaú,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,civic,,,,,,,,,,,,,,,,,,,,,,,,,PMVV,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,utility,,,,,,,,,,,,,,,,,,,,,,,,,Walmart,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,cabin,,,,,,,,,,,,,,,,,,,,,,,,,VW do Brasil,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,college,,,,,,,,,,,,,,,,,,,,,,,,,Aurora,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,Caixa Econômica Federal,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,mosque,,,,,,,,,,,,,,,,,,,,,,,,,Fundação Nacional do Índio,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,tank,,,,,,,,,,,,,,,,,,,,,,,,,Correios,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,Universidade de Brasília,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,Secretaria da Administração Penitenciária - Coordenadoria da Região Oeste do Estado,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,station,,,,,,,,,,,,,,,,,,,,,,,,,PDVSA,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,house:roof=permanent,,,,,,,,,,,,,,,,,,,,,,,,,Chevrolet,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,roof=missing?,,,,,,,,,,,,,,,,,,,,,,,,,UFBA - Universidade Federal da Bahia,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,chapel,,,,,,,,,,,,,,,,,,,,,,,,,Clube Atlético Ypiranga,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,public_building,,,,,,,,,,,,,,,,,,,,,,,,,Cristaleria Rosario,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,collapsed,,,,,,,,,,,,,,,,,,,,,,,,,D.G.C.y E.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,ruins,,,,,,,,,,,,,,,,,,,,,,,,,Ale,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,tools,,,,,,,,,,,,,,,,,,,,,,,,,UFRB - Universidade Federal do Recôncavo da Bahia,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,sh,,,,,,,,,,,,,,,,,,,,,,,,,Petroecuador,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,kraal,,,,,,,,,,,,,,,,,,,,,,,,,Secretaria Estadual de Educação,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,dormitory,,,,,,,,,,,,,,,,,,,,,,,,,Camping ACA,,,,,,,,,,,,,,,,,,,,
