access,admin_level,aerialway,aeroway,amenity,area,barrier,bicycle,brand,bridge,boundary,building,construction,covered,culvert,cutting,denomination,disused,embankment,foot,generator:source,harbour,highway,historic,horse,intermittent,junction,landuse,leisure,lock,man_made,military,motorcar,natural,office,oneway,operator,place,power,power_source,public_transport,railway,religion,route,service,shop,sport,surface,toll,tourism,tower:type,tracktype,tunnel,water,waterway,wetland,wood
designated,8,,runway,,yes,wall,no,,yes,protected_area,yes,residential,,,,,,yes,no,,,motorway,,no,yes,roundabout,residential,nature_reserve,,pipeline,,yes,coastline,,yes,Commune,village,minor_line,,platform,abandoned,,bus,yard,,,earth,yes,,,grade5,culvert,,wadi,,
forestry,2,,taxiway,,,embankment,yes,,viaduct,administrative,,,,,,,,,yes,,,motorway_link,,yes,,,,,,pier,,,cliff,,-1,TITSA,suburb,line,,,rail,,road,spur,,,unpaved,,,,grade2,yes,,stream,,
private,5,,,,,hedge,designated,,,national_park,,,,,,,,,designated,,,steps,,,,,,,,,,,tree_row,,no,ALL,municipality,,,,disused,,train,driveway,,,paved,,,,grade3,,,drain,,
agricultural,7,,,,,fence,dismount,,,maritime,,,,,,,,,,,,living_street,,,,,,,,,,,,,,Transtusa,town,,,,platform,,,siding,,,cobblestone,,,,grade1,,,canal,,
no,6,,,,,city_wall,,,,,,,,,,,,,,,,residential,,,,,,,,,,,,,,Instituto Chico Mendes de Conservação da Biodiversidade,state,,,,,,,parking_aisle,,,concrete,,,,grade4,,,river,,
yes,4,,,,,kerb,,,,,,,,,,,,,,,,construction,,,,,,,,,,,,,,Expresso Santa Luzia,,,,,,,,alley,,,dirt/sand,,,,,,,dam,,
permissive,10,,,,,retaining_wall,,,,,,,,,,,,,,,,secondary,,,,,,,,,,,,,,Deinfra,,,,,,,,,,,dirt,,,,,,,ditch,,
destination,9,,,,,,,,,,,,,,,,,,,,,primary,,,,,,,,,,,,,,Gidion,,,,,,,,,,,sand,,,,,,,,,
,3,,,,,,,,,,,,,,,,,,,,,track,,,,,,,,,,,,,,,,,,,,,,,,,ground,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,tertiary,,,,,,,,,,,,,,,,,,,,,,,,,compacted,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,trunk,,,,,,,,,,,,,,,,,,,,,,,,,gravel,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,tertiary_link,,,,,,,,,,,,,,,,,,,,,,,,,asphalt,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,secondary_link,,,,,,,,,,,,,,,,,,,,,,,,,sett,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,primary_link,,,,,,,,,,,,,,,,,,,,,,,,,grass,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,service,,,,,,,,,,,,,,,,,,,,,,,,,paving_stones,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,unclassified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,pedestrian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,trunk_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,raceway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,bridleway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,proposed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,cycleway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
