access,admin_level,aerialway,aeroway,amenity,area,barrier,bicycle,brand,bridge,boundary,building,construction,covered,culvert,cutting,denomination,disused,embankment,foot,generator:source,harbour,highway,historic,horse,intermittent,junction,landuse,leisure,lock,man_made,military,motorcar,natural,office,oneway,operator,place,power,power_source,public_transport,railway,religion,route,service,shop,sport,surface,toll,tourism,tower:type,tracktype,tunnel,water,waterway,wetland,wood
no culvert,8,cable_car,model_runway,hospital,no,seats,private,,culvert,SPOTMaps extract,house,unclassified,yes,yes,no,catholic,no,no,footway,,,motorway,ruins,unknown,no,roundabout,military,track,yes,water_canal,,forestry,wetland,INCT (Algeria) - Institut National de Cartographie et de Téledetection,yes,EDC,province,cable,,platform,narrow_gauge,christian,piste,Ruelle (entre bâtiments principalement)0,mall,motor,undefined,no,hotel,,grade5,culvert,river,wadi,swamp,mixed
hgv,9,drag_lift,apron,parking_space,yes,block,<allowed>,,low_water_crossing,proposed,track,motorway,no,,yes,PR-180,yes,yes,official,,,abandoned,citywalls,private,yes,yes,religious,park,,bridge,,private,old_coastline_import,,-1,CapeNature,archipelago,minor_line,,,light_rail,muslim,tracks,crossover,,motocross,2,yes,artwork,,2,building_passage,stream,stream,mangrove,
military,2,goods,airstrip,school,,dry_bush,permissive,,abandoned,local_authority,apartments,light_rail,,,,,,false,```,,,raceway,archaeological_site,permissive,,approach,commercial,pitch,,goods_conveyor,,agricultural,coastline,,no,Scota,village,busbar,,,proposed,,detour,irrigation,,soccer,paved; unpaved,true,attraction,,grade0,no,dam,riverbank,,
designated,5,magic_carpet,clearway,building_yard,,entrance,no,,no,civil,hangar,trunk,,,,,,,permissive,,,motorway_link,road,designated,,cloverleaf,grass,swimming_pool,,oven,,official,reef,,yes;no,Kei Rail,quarter,station,,,abandoned,,foot,mainline,,karting,unpaved; paved,,ground_sign,,grade,yes,intermittent,drain,,
psv,3,rope_tow,runway,bulding,,line,destination,,viaduct,protected_area,yes,tertiary,,,,,,,no,,,steps,yes,prohibited,,crossing,farmland,nature_reserve,,dyke,,permissive,volcano,,no;yes,NamPower,suburb,line,,,rail,,Ligne 147 Manga,forestry,,climbing,earth,,yes,,grade2,,lake,canal,,
prohibited,7,j-bar,parking_position,parking,,wall,yes,,aqueduct,conflict,construction,motorway_link,,,,,,,destination,,,bridleway,camino_real,unbekannt,,jughandle,residential,slipway,,conveyor_belt,,designated,scrub,,1,MyCiTi,region,tower,,,station,,bicycle,Cantonment,,athletics,sett,,ruins,,3,,reservoir,river,,
unknown,6,platter,yes,bench,,embankment,designated,,covered,administrative,hut,primary_link,,,,,,,allowed,,,living_street,,no,,,orchard,sports_centre,,cut_line,,no,old_coasline_import,,reversible,COTCO,municipality,,,,preserved,,bus,yard,,tennis,Sand,,,,grade3,,,dam,,
license,4,chair_lift,displaced_threshold,artwork,,guard_rail,prohibited,,yes,EO-1 2008-02-21,terrace,subway,,,,,,,yes,,,residential,,destination,,,forest,stadium,,quay,,destination,ridge,,Two way,AFTU,country,,,,turntable,,railway,parking,,horse_racing,unpaved,,,,grade1,,,ditch,,
customer,10,t-bar,taxiway,place_of_worship,,hedge,unbekannt,,suspension,nature_reserve,residential,trunk_link,,,,,,,designated,,,construction,,yes,,,allotments,recreation_ground,,pipeline,,yes,archipelago,,,Parque Nacional del Teide,district,,,,subway,,hiking,spur,,cycling,rock,,,,grade4,,,rapids,,
forestry,Nuevo Retamo,gondola,aerodrome,ground_sign,,wood,unknown,,movable,town,no,service,,,,,,,unbekannt,,,yes,,,,,yes,common,,breakwater,,unknown,gorge,,,PRASA,town,,,,platform,,subway,branch,,running,brick,,,,golf_cart,,,spillway,,
