access,admin_level,aerialway,aeroway,amenity,area,barrier,bicycle,brand,bridge,boundary,building,construction,covered,culvert,cutting,denomination,disused,embankment,foot,generator:source,harbour,highway,historic,horse,intermittent,junction,landuse,leisure,lock,man_made,military,motorcar,natural,office,oneway,operator,place,power,power_source,public_transport,railway,religion,route,service,shop,sport,surface,toll,tourism,tower:type,tracktype,tunnel,water,waterway,wetland,wood
hgv,8,cable_car,model_runway,hospital,no,seats,private,,culvert,proposed,house,unclassified,yes,yes,no,catholic,no,no,official,,,motorway,ruins,unknown,no,roundabout,farmland,track,,water_canal,,forestry,wetland,INCT (Algeria) - Institut National de Cartographie et de Téledetection,yes,EDC,province,cable,,platform,narrow_gauge,christian,detour,Ruelle (entre bâtiments principalement)0,,motor,undefined,no,attraction,,grade5,culvert,river,wadi,mangrove,
designated,9,goods,runway,parking_space,yes,block,permissive,,low_water_crossing,local_authority,apartments,motorway,no,,yes,,yes,yes,permissive,,,raceway,citywalls,private,yes,cloverleaf,residential,pitch,,goods_conveyor,,private,old_coastline_import,,-1,CapeNature,archipelago,minor_line,,,light_rail,muslim,foot,irrigation,,soccer,paved; unpaved,yes,ground_sign,,grade2,building_passage,stream,stream,,
psv,2,magic_carpet,parking_position,school,,dry_bush,no,,abandoned,protected_area,hangar,light_rail,,,,,,false,no,,,motorway_link,road,permissive,,crossing,forest,nature_reserve,,dyke,,permissive,coastline,,no,Scota,quarter,busbar,,,abandoned,,Ligne 147 Manga,mainline,,climbing,earth,true,yes,,3,no,dam,riverbank,,
unknown,5,rope_tow,yes,bulding,,entrance,destination,,no,conflict,yes,trunk,,,,,,,destination,,,steps,yes,unbekannt,,jughandle,allotments,slipway,,quay,,designated,reef,,no;yes,NamPower,suburb,line,,,rail,,bicycle,forestry,,athletics,sett,,ruins,,grade3,yes,intermittent,drain,,
license,3,j-bar,displaced_threshold,parking,,line,yes,,viaduct,administrative,construction,tertiary,,,,,,,allowed,,,bridleway,archaeological_site,no,,,farm,stadium,,pipeline,,no,volcano,,1,MyCiTi,region,tower,,,station,,bus,Cantonment,,horse_racing,Sand,,artwork,,grade1,,lake,canal,,
customer,7,platter,taxiway,bench,,wall,designated,,aqueduct,town,hut,motorway_link,,,,,,,yes,,,living_street,camino_real,yes,,,recreation_ground,common,,breakwater,,destination,old_coasline_import,,reversible,AFTU,country,,,,preserved,,railway,yard,,cycling,unpaved,,,,grade4,,reservoir,river,,
forestry,6,chair_lift,aerodrome,ground_sign,,embankment,unbekannt,,covered,postal,terrace,primary_link,,,,,,,designated,,,residential,,designated,,,conservation,park,,crane,,yes,ridge,,Two way,Parque Nacional del Teide,district,,,,turntable,,hiking,parking,,karting,rock,,,,golf_cart,,,dam,,
private,4,t-bar,,parking_entrance,,guard_rail,unknown,,yes,maritim,residential,service,,,,,,,unbekannt,,,construction,,,,,industrial,,,embankment,,unknown,archipelago,,,PRASA,town,,,,subway,,power,spur,,,brick,,,,5,,,ditch,,
agricultural,10,gondola,,,,hedge,dismount,,suspension,maritime,,residential,,,,,,,private,,,yes,,,,,2,,,groyne,,agricultural,water,,,Transportes Insular La Palma,city,,,,platform,,share_taxi,branch,,,interlock,,,,trocha,,,intermittent,,
official,11,drag_lift,,,,wood,,,movable,hires,,rail,,,,,,,yes;no,,,secondary,,,,,military,,,submarine_cable,,,crater,,,"Ministerio de Agricultura, Alimentación y Medio Ambiente",locality,,,,construction,,ferry,Bing,,,paved; paved; unpaved; unpaved,,,,,,,yes,,
customers,,,,,,yes,,,,catchment_area,,yes,,,,,,,,,,primary,,,,,reservoir,,,cutline,,,riverbank,,,EdM,state,,,,disused,,train,drive-through,,,asphalt:sand,,,,,,,weir,,
public,,,,,,fence,,,,national_park,,minor,,,,,,,,,,track,,,,,grass,,,jetty,,,arete,,,CFU,neighbourhood,,,,tram,,road,agriculture,,,paved,,,,,,,waterfall,,
no,,,,,,toll_booth,,,,natural,,primary,,,,,,,,,,tertiary,,,,,farmyard,,,levee,,,cliff,,,KR/EAR,county,,,,monorail,,mtb,driveway,,,mud,,,,,,,derelict_canal,,
delivery,,,,,,bollard,,,,political,,secondary,,,,,,,,,,trunk,,,,,meadow,,,pier,,,strait,,,SNCC,island,,,,historic,,yes,siding,,,cobblestone,,,,,,,,,
yes,,,,,,city_wall,,,,political_fraction,,ligh_rail,,,,,,,,,,tertiary_link,,,,,,,,conveyor,,,old_coasttline_import,,,M.M. Mining and Togo Rail S.A. (WACEM and RITES),hamlet,,,,proposed,,tram,parking_aisle,,,grass,,,,,,,,,
permissive,,,,,,wire_fence,,,,civil,,footway,,,,,,,,,,secondary_link,,,,,,,,bridge,,,caldera,,,Cabildo Insular de La Palma,village,,,,level_crossing,,offroad,alley,,,asphalt;unpaved,,,,,,,,,
restricted,,,,,,gate,,,,census,,secondary_link,,,,,,,,,,living_street;residential,,,,,,,,geoglyph,,,tree_lined,,,Sasol,municipality,,,,yes,,trolleybus,agricultural,,,paving_stones:30,,,,,,,,,
destination,,,,,,kerb,,,,fix_administrative,,subway,,,,,,,,,,primary_link,,,,,,,,yes,,,rock,,,Algoa Bus,municipalidad,,,,funicular,,light_rail,Forestry,,,fine_gravel,,,,,,,,,
military,,,,,,ditch,,,,landuse,,trunk_link,,,,,,,,,,crossing,,,,,,,,,,,wood,,,University of Cape Town,,,,,razed,,aerialway,emergency_access,,,clay,,,,,,,,,
bus,,,,,,retaining_wall,,,,yes,,canal,,,,,,,,,,platform,,,,,,,,,,,tree_row,,,Shosholoza Meyl,,,,,,,subway,vers ECA,,,concrete,,,,,,,,,
,,,,,,net,,,,Bing Aerial Imagery,,living_street,,,,,,,,,,escape,,,,,,,,,,,valley,,,ZR,,,,,,,ski,-,,,Gravel,,,,,,,,,
,,,,,,debris,,,,religious_administration,,road,,,,,,,,,,service,,,,,,,,,,,rocks,,,SNCFT,,,,,,,Bus,bus,,,tar,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,path,,,,,,,,,,,beach,,,SRA,,,,,,,track,bus_way,,,dirt/sand,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,road,,,,,,,,,,,sand,,,Eskom,,,,,,,,crossover,,,unspecified,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,rest_area,,,,,,,,,,,scrub,,,Aftu,,,,,,,,Fenoco,,,dirt,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,unclassified,,,,,,,,,,,rapids,,,ONATRA,,,,,,,,water_power,,,sea shells,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,footway,,,,,,,,,,,tree,,,City Sightseeing,,,,,,,,hydrocarbons,,,sand,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,proposed,,,,,,,,,,,plateau,,,Horários do Funchal,,,,,,,,long_distance,,,pozzolan,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,bus_stop,,,,,,,,,,,grassland,,,EAR,,,,,,,,private,,,dirt/sand;dirt,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,pedestrian,,,,,,,,,,,crevasse,,,thiade,,,,,,,,parking_aisle;driveway,,,laterite,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,ford,,,,,,,,,,,,,,Transtu,,,,,,,,yard?,,,asphalt;sand,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,trunk_link,,,,,,,,,,,,,,AINGAVAO,,,,,,,,abandoned_tram,,,ground,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,cycleway,,,,,,,,,,,,,,CAMRAIL,,,,,,,,regional,,,compacted,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,abandoned,,,,,,,,,,,,,,ICCN,,,,,,,,commuter,,,paved;unpaved,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,dummy,,,,,,,,,,,,,,Rodoeste,,,,,,,,busway,,,unpaved;paved,,,,,,,,,
