access,admin_level,aerialway,aeroway,amenity,area,barrier,bicycle,brand,bridge,boundary,building,construction,covered,culvert,cutting,denomination,disused,embankment,foot,generator:source,harbour,highway,historic,horse,intermittent,junction,landuse,leisure,lock,man_made,military,motorcar,natural,office,oneway,operator,place,power,power_source,public_transport,railway,religion,route,service,shop,sport,surface,toll,tourism,tower:type,tracktype,tunnel,water,waterway,wetland,wood
permissive,8,,helipad,courthouse,yes,hedge,yes,Shell,,national_park,office,yes,no,,,catholic,yes,yes,yes,hydro,,footway,ruins,yes,yes,,yes,garden,,water_well,barracks,,wetland,administrative,no,STEG,hamlet,substation,oil,platform,station,muslim,,,car_repair,multi,paved,,motel,,,,reservoir,riverbank,mangrove,mixed
private,9,,apron,university,,yes,,Total,,protected_area,storage_tank,,yes,,,orthodox,,,,,,track,archaeological_site,,,,meadow,nature_reserve,,storage_tank,bunker,,old_coastline_import,yes,,Gobierno de Canarias,islet,generator,,station,platform,christian,,,convenience,football,grass,,hostel,,,,pond,canal,saltern,deciduous
customers,6,,hangar,hospital,,fence,,Ipiranga,,administrative,university,,,,,roman_catholic,,,,,,pedestrian,castle,,,,recreation_ground,playground,,reservoir_covered,,,ridge,educational_institution,,Instituto Chico Mendes de Conservação da Biodiversidade,village,station,,,,,,,car,volleyball,gravel,,guest_house,,,,river,river,saltmarsh,coniferous
public,4,,runway,swimming_pool,,wall,,BR,,,House,,,,,pentecostal,,,,,,service,no,,,,railway,yes,,yes,,,riverbank,government,,BR,town,sub_station,,,,,,,yes,bowls,asphalt,,chalet,,,,intermittent,dam,swamp,yes
no,5,,terminal,public_building,,kerb,,Petrobras,,,roof=permanent,,,,,sunni,,,,,,path,threshing_floor,,,,brownfield,stadium,,pier,,,fell,ngo,,Fundação Nacional do Índio,locality,,,,,,,,variety_store,soccer,unpaved,,attraction,,,,lake,ditch,marsh,
yes,10,,taxiway,post_office,,,,,,,barn,,,,,evangelical,,,,,,residential,yes,,,,quarry,recreation_ground,,wastewater_plant,,,rock,company,,Ipiranga,neighbourhood,,,,,,,,kiosk,athletics,ground,,caravan_site,,,,lagoon,weir,,
,7,,aerodrome,doctors,,,,,,,apartments,,,,,mormon,,,,,,platform,monument,,,,plantation,swimming_pool,,tower,,,wood,,,,island,,,,,,,,clothes,tennis,concrete,,zoo,,,,riverbank,stream,,
,11,,,taxi,,,,,,,detached,,,,,,,,,,,,memorial,,,,reservoir,common,,water_tank,,,grassland,,,,suburb,,,,,,,,supermarket,basketball,dirt,,camp_site,,,,oxbow,,,
,,,,toilets,,,,,,,commercial;residential,,,,,,,,,,,,,,,,village_green,sports_centre,,water_tower,,,scrub,,,,city_block,,,,,,,,bakery,cricket,sand,,picnic_site,,,,,,,
,,,,shelter,,,,,,,commercial,,,,,,,,,,,,,,,,grass,golf_course,,storage,,,coastline,,,,farm,,,,,,,,mall,swimming,clay,,hotel,,,,,,,
,,,,fire_station,,,,,,,damaged,,,,,,,,,,,,,,,,allotments,beach_resort,,water_works,,,reef,,,,isolated_dwelling,,,,,,,,doityourself,golf,paving_stones,,museum,,,,,,,
,,,,clinic,,,,,,,terrasse,,,,,,,,,,,,,,,,vineyard,park,,gasometer,,,old_coasline_import,,,,municipality,,,,,,,,furniture,hockey,,,sign,,,,,,,
,,,,place_of_worship,,,,,,,cle,,,,,,,,,,,,,,,,conservation,pitch,,works,,,crater,,,,county,,,,,,,,electronics,baseball,,,theme_park,,,,,,,
,,,,fuel,,,,,,,residential,,,,,,,,,,,,,,,,salt_pond,track,,silo,,,cliff,,,,city,,,,,,,,stationery,pelota,,,,,,,,,,
,,,,bank,,,,,,,construction,,,,,,,,,,,,,,,,industrial,marina,,breakwater,,,scree,,,,,,,,,,,,butcher,motor,,,,,,,,,,
,,,,pharmacy,,,,,,,warehouse,,,,,,,,,,,,,,,,landfill,water_park,,oil_tank,,,old_coasttline_import,,,,,,,,,,,,greengrocer,equestrian,,,,,,,,,,
,,,,embassy,,,,,,,church,,,,,,,,,,,,,,,,greenfield,,,,,,bare_rock,,,,,,,,,,,,department_store,horse_racing,,,,,,,,,,
,,,,police,,,,,,,no,,,,,,,,,,,,,,,,farmyard,,,,,,beach,,,,,,,,,,,,shoes,skateboard,,,,,,,,,,
,,,,parking_space,,,,,,,school,,,,,,,,,,,,,,,,forest,,,,,,heath,,,,,,,,,,,,car_parts,,,,,,,,,,,
,,,,townhall,,,,,,,terrace,,,,,,,,,,,,,,,,military,,,,,,sand,,,,,,,,,,,,hardware,,,,,,,,,,,
,,,,cinema,,,,,,,public,,,,,,,,,,,,,,,,commercial,,,,,,water,,,,,,,,,,,,hairdresser,,,,,,,,,,,
,,,,grave_yard,,,,,,,retail,,,,,,,,,,,,,,,,farmland,,,,,,glacier,,,,,,,,,,,,,,,,,,,,,,,
,,,,bar,,,,,,,farm,,,,,,,,,,,,,,,,residential,,,,,,mud,,,,,,,,,,,,,,,,,,,,,,,
,,,,prison,,,,,,,hangar,,,,,,,,,,,,,,,,greenhouse_horticulture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,arts_centre,,,,,,,roof,,,,,,,,,,,,,,,,construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,fountain,,,,,,,hotel,,,,,,,,,,,,,,,,surface_mining,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,library,,,,,,,garage,,,,,,,,,,,,,,,,cemetery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,school,,,,,,,tent,,,,,,,,,,,,,,,,livestock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,kindergarten,,,,,,,industrial,,,,,,,,,,,,,,,,orchard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,parking,,,,,,,manufacture,,,,,,,,,,,,,,,,retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,restaurant,,,,,,,hut,,,,,,,,,,,,,,,,farm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,cafe,,,,,,,house,,,,,,,,,,,,,,,,basin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,marketplace,,,,,,,greenhouse,,,,,,,,,,,,,,,,aquaculture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,fast_food,,,,,,,farm_auxiliary,,,,,,,,,,,,,,,,wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,bus_station,,,,,,,shed,,,,,,,,,,,,,,,,garages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,community_centre,,,,,,,train_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,college,,,,,,,civic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,theatre,,,,,,,cabin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,childcare,,,,,,,college,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,nightclub,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,pub,,,,,,,mosque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,car_wash,,,,,,,tank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,love_hotel,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,social_facility,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,veterinary,,,,,,,collapsed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,ruins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,dormitory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,chapel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,garages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,cathedral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
