access,admin_level,aerialway,aeroway,amenity,area,barrier,bicycle,brand,bridge,boundary,building,capital,construction,covered,culvert,cutting,denomination,disused,ele,embankment,foot,generator:source,harbour,highway,historic,horse,intermittent,junction,landuse,leisure,lock,man_made,military,motorcar,natural,office,oneway,operator,place,poi,power,power_source,public_transport,railway,religion,route,service,shop,sport,surface,toll,tourism,tower:type,tunnel,water,waterway,wetland,wood
yes,8,,aerodrome,hospital,,entrance,yes,YPF,,,yes,,,no,,,catholic,,,,yes,wind,,stop,archaeological_site,,,,,playground,,water_well,,yes,water,,,ESCOM,hamlet,,generator,,platform,buffer_stop,christian,,,clothes,,,,information,communication,,reservoir,waterfall,,
private,,,helipad,public_building,,lift_gate,,,,,residential,,,,,,,,,,,,,bus_stop,monument,,,,,sports_centre,,tower,,,wood,,,Barid Al Maghrib,locality,,pole,,stop_position,station,muslim,,,hairdresser,,,,guest_house,,,,river,,
multifamily,,,,post_office,,gate,,,,,hut,,,,,,,,,,,,,street_lamp,,,,,,,,survey_point,,,peak,,,TITSA,neighbourhood,,tower,,,level_crossing,,,,supermarket,,,,viewpoint,,,,,,
,,,,toilets,,toll_booth,,,,,house,,,,,,,,,,,,,motorway_junction,,,,,,,,water_tower,,,tree,,,yes,suburb,,,,,crossing,,,,bakery,,,,attraction,,,,,,
,,,,pub,,,,,,,,,,,,,,,,,,,,ford,,,,,,,,,,,volcano,,,3,isolated_dwelling,,,,,,,,,convenience,,,,camp_site,,,,,,
,,,,atm,,,,,,,,,,,,,,,,,,,,mini_roundabout,,,,,,,,,,,spring,,,Oi,village,,,,,,,,,kiosk,,,,hotel,,,,,,
,,,,bank,,,,,,,,,,,,,,,,,,,,crossing,,,,,,,,,,,,,,Transener,town,,,,,,,,,doityourself,,,,hostel,,,,,,
,,,,shower,,,,,,,,,,,,,,,,,,,,turning_circle,,,,,,,,,,,,,,,unknown,,,,,,,,,butcher,,,,museum,,,,,,
,,,,school,,,,,,,,,,,,,,,,,,,,traffic_signals,,,,,,,,,,,,,,,island,,,,,,,,,hardware,,,,,,,,,,
,,,,restaurant,,,,,,,,,,,,,,,,,,,,speed_camera,,,,,,,,,,,,,,,farm,,,,,,,,,car_repair,,,,,,,,,,
,,,,fast_food,,,,,,,,,,,,,,,,,,,,give_way,,,,,,,,,,,,,,,,,,,,,,,,car,,,,,,,,,,
,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,place_of_worship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,fuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,grave_yard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,drinking_water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,telephone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,bench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,fire_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,bus_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,bicycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,townhall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,kindergarten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
