access,admin_level,aerialway,aeroway,amenity,area,barrier,bicycle,brand,bridge,boundary,building,capital,construction,covered,culvert,cutting,denomination,disused,ele,embankment,foot,generator:source,harbour,highway,historic,horse,intermittent,junction,landuse,leisure,lock,man_made,military,motorcar,natural,office,oneway,operator,place,poi,power,power_source,public_transport,railway,religion,route,service,shop,sport,surface,toll,tourism,tower:type,tunnel,water,waterway,wetland,wood
,,,,pub,,,,Esso,,,hut,,,,,,mormon,,,,,,,mini_roundabout,,,,,farm,water_park,,flagpole,,,beach,,,Caltex,unknown,,,,,,,,,laundry,,,,picnic_site,,,,,,
,,,,atm,,,,,,,house,,,,,,,,,,,,,crossing,,,,,,fishing,,beacon,,,sand,,,Standard Bank,county,,,,,,,,,sports,,,,artwork,,,,,,
,,,,bank,,,,,,,church,,,,,,,,,,,,,give_way,,,,,,picnic_table,,works,,,tree,,,SENELEC,farm,,,,,,,,,hifi,,,,hotel,,,,,,
,,,,recycling,,,,,,,warehouse,,,,,,,,,,,,,turning_circle,,,,,,,,cattle_chute,,,peaks,,,TITSA,region,,,,,,,,,car_parts,,,,theme_park,,,,,,
,,,,embassy,,,,,,,industrial,,,,,,,,,,,,,traffic_signals,,,,,,,,silo,,,hills,,,yes,,,,,,,,,,beverages,,,,alpine_hut,,,,,,
,,,,shower,,,,,,,chapel,,,,,,,,,,,,,rest_area,,,,,,,,water_tank,,,dune,,,STEG,,,,,,,,,,hairdresser,,,,,,,,,,
,,,,studio,,,,,,,civic,,,,,,,,,,,,,yes,,,,,,,,chimney,,,hill,,,Naftal,,,,,,,,,,no,,,,,,,,,,
,,,,post_box,,,,,,,hotel,,,,,,,,,,,,,turning_loop,,,,,,,,water_tower,,,volcano,,,SONABEL,,,,,,,,,,video,,,,,,,,,,
,,,,bureau_de_change,,,,,,,,,,,,,,,,,,,,,,,,,,,,mast,,,cliff,,,no,,,,,,,,,,books,,,,,,,,,,
,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,petroleum_well,,,spring,,,ONAS,,,,,,,,,,motorcycle,,,,,,,,,,
,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,antenna_pad,,,fell,,,Serttel,,,,,,,,,,kitchen,,,,,,,,,,
,,,,marketplace,,,,,,,,,,,,,,,,,,,,,,,,,,,,surveillance,,,rock,,,Bradesco,,,,,,,,,,travel_agency,,,,,,,,,,
,,,,veterinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,offshore_platform,,,scrub,,,Petrobras,,,,,,,,,,computer,,,,,,,,,,
,,,,fast_food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,general,,,,,,,,,,
,,,,bus_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,supermarket,,,,,,,,,,
,,,,community_centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Banco do Brasil,,,,,,,,,,tyres,,,,,,,,,,
,,,,theatre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BR,,,,,,,,,,greengrocer,,,,,,,,,,
,,,,parking_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EDF,,,,,,,,,,bakery,,,,,,,,,,
,,,,nightclub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Terpel,,,,,,,,,,boutique,,,,,,,,,,
,,,,waste_basket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Celesc,,,,,,,,,,toys,,,,,,,,,,
,,,,swimming_pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oi,,,,,,,,,,dry_cleaning,,,,,,,,,,
,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDVSA,,,,,,,,,,copyshop,,,,,,,,,,
,,,,shelter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ipiranga,,,,,,,,,,department_store,,,,,,,,,,
,,,,waste_disposal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CEMIG,,,,,,,,,,doityourself,,,,,,,,,,
,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,convenience,,,,,,,,,,
,,,,car_wash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,furniture,,,,,,,,,,
,,,,place_of_worship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transba,,,,,,,,,,electronics,,,,,,,,,,
,,,,fuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ETCSBC,,,,,,,,,,kiosk,,,,,,,,,,
,,,,dentist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Correios,,,,,,,,,,mobile_phone,,,,,,,,,,
,,,,ferry_terminal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metro de Caracas C.A,,,,,,,,,,butcher,,,,,,,,,,
,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transener,,,,,,,,,,gift,,,,,,,,,,
,,,,shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,beauty,,,,,,,,,,
,,,,police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jewelry,,,,,,,,,,
,,,,townhall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,,,,,,,
,,,,cinema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alcohol,,,,,,,,,,
,,,,grave_yard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shoes,,,,,,,,,,
,,,,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,optician,,,,,,,,,,
,,,,drinking_water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chemist,,,,,,,,,,
,,,,telephone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hardware,,,,,,,,,,
,,,,cemetery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lottery,,,,,,,,,,
,,,,prison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trade,,,,,,,,,,
,,,,arts_centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,food,,,,,,,,,,
,,,,bench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fabric,,,,,,,,,,
,,,,watering_place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,confectionery,,,,,,,,,,
,,,,fountain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paint,,,,,,,,,,
,,,,library,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outdoor,,,,,,,,,,
,,,,kindergarten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,seafood,,,,,,,,,,
,,,,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newsagent,,,,,,,,,,
,,,,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pet,,,,,,,,,,
,,,,college,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,music,,,,,,,,,,
,,,,ice_cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,funeral_directors,,,,,,,,,,
,,,,love_hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deli,,,,,,,,,,
,,,,bicycle_rental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emergency_phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,bbq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,clock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,food_court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,bicycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,social_facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
