access,admin_level,aerialway,aeroway,amenity,area,barrier,bicycle,brand,bridge,boundary,building,capital,construction,covered,culvert,cutting,denomination,disused,ele,embankment,foot,generator:source,harbour,highway,historic,horse,intermittent,junction,landuse,leisure,lock,man_made,military,motorcar,natural,office,oneway,operator,place,poi,power,power_source,public_transport,railway,religion,route,service,shop,sport,surface,toll,tourism,tower:type,tunnel,water,waterway,wetland,wood
yes,8,station,helipad,courthouse,yes,block,no,Total,yes,,office,8,yes,yes,,,anglican,yes,0.000000,,no,wind,yes,stop,ruins,no,yes,roundabout,reservoir,garden,,water_well,nuclear_explosion_site,no,wetland,administrative,,Engen,hamlet,,transformer,hydro,platform,switch,christian,road,,florist,scuba_diving,unpaved,,motel,observation,,pond,canal,,
private,4,pylon,gate,university,,entrance,yes,Engen,,,mosque,4,,no,,,catholic,,131,,yes,hydro,,speed_camera,memorial,yes,,yes,livestock,nature_reserve,,storage_tank,,yes,water,telecommunication,,BP,locality,,substation,wind,stop_position,buffer_stop,muslim,,,car_repair,climbing,paved,,information,communication,,well,boatyard,,
customers,10,,aerodrome,hospital,,wall,,Shell,,,yes,6,,,,,baptist,,140,,,,,bus_stop,archaeological_site,,,,residential,slipway,,antenna,,,cave_entrance,yes,,SOTRACO,neighbourhood,,generator,,station,abandoned,,,,car,swimming,cobblestone,,hostel,termination,,reservoir,rapids,,
no,,,windsock,public_building,,border_control,,PDV,,,garages,,,,,,orthodox,,207,,,,,milestone,yes,,,,quarry,park,,crane,,,saddle,educational_institution,,ABSA,island,,portal,,,station,,,,stationery,soccer,,,chalet,transition,,,waterfall,,
multifamily,,,parking_position,post_office,,fence,,ANCAP,,,school,,,,,,roman_catholic,,,,,,,steps,monument,,,,retail,pitch,,lighthouse,,,wood,government,,Traditional pit latrine,suburb,,pole,,,tram_stop,,,,yes,multi,,,guest_house,suspension,,,weir,,
public,,,navigationaid,bulding,,toll_booth,,YPF,,,public,,,,,,pentecostal,,,,,,,street_lamp,castle,,,,industrial,playground,,shaft,,,stone,ngo,,Gautrain,state,,tower,,,level_crossing,,,,garden_centre,basketball,,,viewpoint,defensive,,,milestone,,
permissive,,,,taxi,,lift_gate,,Bandera Blanca,,,apartments,,,,,,evangelical,,,,,,,motorway_junction,wayside_cross,,,,cemetery,stadium,,tower,,,bay,company,,Total,isolated_dwelling,,sub_station,,,halt,,,,variety_store,gymnastics,,,attraction,,,,stream,,
destination,,,,toilets,,bollard,,Ipiranga,,,entrance,,,,,,sunni,,,,,,,unknown,wreck,,,,commercial,swimming_pool,,survey_point,,,peak,insurance,,Shell,city,,street_pole,,,crossing,,,,clothes,,,,caravan_site,,,,dam,,
,,,,fire_station,,cattle_grid,,BR,,,commercial,,,,,,protestant,,,,,,,ford,,,,,farmyard,sports_centre,,water_works,,,cape,estate_agent,,ESCOM,village,,station,,,subway_entrance,,,,bicycle,,,,camp_site,,,,river,,
,,,,car_rental,,gate,,Petrobras,,,residential,,,,,,jehovahs_witness,,,,,,,residential,,,,,allotments,marina,,communications_tower,,,point,lawyer,,Barid Al Maghrib,town,,,,,,,,,tailor,,,,museum,,,,,,
